"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"170","ffs",0,1,0,0,0,0,0,0,0,0,0
"171","dnaC",0,1,0,0,0,0,0,0,0,0,0
"172","ppa",0,1,0,0,0,0,0,0,0,0,0
"173","dosP",0,1,0,0,0,0,0,0,0,0,0
"174","mdfA",0,1,0,0,0,0,0,0,0,0,0
"175","ggt",0,1,0,0,0,0,0,0,0,0,0
"176","vsr",0,1,0,0,0,0,0,0,0,0,0
"177","glnE",0,1,0,0,0,0,0,0,0,0,0
"178","mutH",0,1,0,0,0,0,0,0,0,0,0
"179","dxr",0,1,0,0,0,0,0,0,0,0,0
"180","secM",0,1,0,0,0,0,0,0,0,0,0
"181","clcA",0,1,0,0,0,0,0,0,0,0,0
"182","pgsA",0,1,0,0,0,0,0,0,0,0,0
"183","mug",0,1,0,0,0,0,0,0,0,0,0
"184","mnmE",0,1,0,0,0,0,0,0,0,0,0
"185","topB",0,1,0,0,0,0,0,0,0,0,0
"186","rcsC",0,1,0,0,0,0,0,0,0,0,0
"187","mrdB",0,1,0,0,0,0,0,0,0,0,0
"188","clsA",0,1,0,0,0,0,0,0,0,0,0
"189","gldA",0,1,0,0,0,0,0,0,0,0,0
"190","menD",0,1,0,0,0,0,0,0,0,0,0
"191","truA",0,1,0,0,0,0,0,0,0,0,0
"192","rppH",0,1,0,0,0,0,0,0,0,0,0
"193","dnaT",0,1,0,0,0,0,0,0,0,0,0
"194","rodZ",0,1,0,0,0,0,0,0,0,0,0
"195","cyaY",0,1,0,0,0,0,0,0,0,0,0
"196","recE",0,1,0,0,0,0,0,0,0,0,0
"197","maeB",0,1,0,0,0,0,0,0,0,0,0
"198","hokC",0,1,0,0,0,0,0,0,0,0,0
"199","ftsP",0,1,0,0,0,0,0,0,0,0,0
"200","murJ",0,1,0,0,0,0,0,0,0,0,0
"201","ushA",0,1,0,0,0,0,0,0,0,0,0
"202","fre",0,1,0,0,0,0,0,0,0,0,0
"203","panE",0,1,0,0,0,0,0,0,0,0,0
"204","btuC",0,1,0,0,0,0,0,0,0,0,0
"205","tag",0,1,0,0,0,0,0,0,0,0,0
"206","insO",0,1,0,0,0,0,0,0,0,0,0
"207","hemC",0,1,0,0,0,0,0,0,0,0,0
"208","murB",0,1,0,0,0,0,0,0,0,0,0
"209","proA",0,1,0,0,0,0,0,0,0,0,0
"210","nfi",0,1,0,0,0,0,0,0,0,0,0
"211","lit",0,1,0,0,0,0,0,0,0,0,0
"212","hemG",0,1,0,0,0,0,0,0,0,0,0
"213","trmL",0,1,0,0,0,0,0,0,0,0,0
"214","rcsF",0,1,0,0,0,0,0,0,0,0,0
"215","mcrA",0,1,0,0,0,0,0,0,0,0,0
"216","recT",0,1,0,0,0,0,0,0,0,0,0
"217","zapA",0,1,0,0,0,0,0,0,0,0,0
"218","aes",0,1,0,0,0,0,0,0,0,0,0
"219","endA",0,1,0,0,0,0,0,0,0,0,0
"220","lolE",0,1,0,0,0,0,0,0,0,0,0
"221","lplA",0,1,0,0,0,0,0,0,0,0,0
"222","kup",0,1,0,0,0,0,0,0,0,0,0
"223","cybC",0,1,0,0,0,0,0,0,0,0,0
"224","lolD",0,1,0,0,0,0,0,0,0,0,0
"225","rlmN",0,1,0,0,0,0,0,0,0,0,0
"226","yicR",0,1,0,0,0,0,0,0,0,0,0
"227","ftsB",0,1,0,0,0,0,0,0,0,0,0
"228","nadK",0,1,0,0,0,0,0,0,0,0,0
"229","barA",0,1,0,0,0,0,0,0,0,0,0
"230","guaC",0,1,0,0,0,0,0,0,0,0,0
"231","mog",0,1,0,0,0,0,0,0,0,0,0
"232","ptrB",0,1,0,0,0,0,0,0,0,0,0
"233","matP",0,1,0,0,0,0,0,0,0,0,0
"234","pbpC",0,1,0,0,0,0,0,0,0,0,0
"235","etk",0,1,0,0,0,0,0,0,0,0,0
"236","uhpC",0,1,0,0,0,0,0,0,0,0,0
"237","epmA",0,1,0,0,0,0,0,0,0,0,0
"238","lpxM",0,1,0,0,0,0,0,0,0,0,0
"239","ldcA",0,1,0,0,0,0,0,0,0,0,0
"240","tsaD",0,1,0,0,0,0,0,0,0,0,0
"241","solA",0,1,0,0,0,0,0,0,0,0,0
"242","rusA",0,1,0,0,0,0,0,0,0,0,0
"243","cobB",0,1,0,0,0,0,0,0,0,0,0
"244","pdxB",0,1,0,0,0,0,0,0,0,0,0
"245","folB",0,1,0,0,0,0,0,0,0,0,0
"246","yajL",0,1,0,0,0,0,0,0,0,0,0
"247","nagZ",0,1,0,0,0,0,0,0,0,0,0
"248","lptE",0,1,0,0,0,0,0,0,0,0,0
"249","dacD",0,1,0,0,0,0,0,0,0,0,0
"250","fcl",0,1,0,0,0,0,0,0,0,0,0
"251","basS",0,1,0,0,0,0,0,0,0,0,0
"252","tesB",0,1,0,0,0,0,0,0,0,0,0
"253","trkG",0,1,0,0,0,0,0,0,0,0,0
"254","yggX",0,1,0,0,0,0,0,0,0,0,0
"255","gpp",0,1,0,0,0,0,0,0,0,0,0
"256","gdx",0,1,0,0,0,0,0,0,0,0,0
"257","macB",0,1,0,0,0,0,0,0,0,0,0
"258","cnu",0,1,0,0,0,0,0,0,0,0,0
"259","sapD",0,1,0,0,0,0,0,0,0,0,0
"260","rlmA",0,1,0,0,0,0,0,0,0,0,0
"261","xanQ",0,1,0,0,0,0,0,0,0,0,0
"262","rlmH",0,1,0,0,0,0,0,0,0,0,0
"263","emtA",0,1,0,0,0,0,0,0,0,0,0
"264","gmm",0,1,0,0,0,0,0,0,0,0,0
"265","tusA",0,1,0,0,0,0,0,0,0,0,0
"266","opgB",0,1,0,0,0,0,0,0,0,0,0
"267","djlA",0,1,0,0,0,0,0,0,0,0,0
"268","sdhE",0,1,0,0,0,0,0,0,0,0,0
"269","plsC",0,1,0,0,0,0,0,0,0,0,0
"270","bcr",0,1,0,0,0,0,0,0,0,0,0
"271","torS",0,1,0,0,0,0,0,0,0,0,0
"272","mdtK",0,1,0,0,0,0,0,0,0,0,0
"273","fsaA",0,1,0,0,0,0,0,0,0,0,0
"274","mnmC",0,1,0,0,0,0,0,0,0,0,0
"275","clcB",0,1,0,0,0,0,0,0,0,0,0
"276","truD",0,1,0,0,0,0,0,0,0,0,0
"277","ygdG",0,1,0,0,0,0,0,0,0,0,0
"278","rbbA",0,1,0,0,0,0,0,0,0,0,0
"279","zapB",0,1,0,0,0,0,0,0,0,0,0
"280","yaaW",0,1,0,0,0,0,0,0,0,0,0
"281","csdE",0,1,0,0,0,0,0,0,0,0,0
"282","trmB",0,1,0,0,0,0,0,0,0,0,0
"283","gpr",0,1,0,0,0,0,0,0,0,0,0
"284","kefF",0,1,0,0,0,0,0,0,0,0,0
"285","gmhB",0,1,0,0,0,0,0,0,0,0,0
"286","ltaE",0,1,0,0,0,0,0,0,0,0,0
"287","cpsB",0,1,0,0,0,0,0,0,0,0,0
"288","selU",0,1,0,0,0,0,0,0,0,0,0
"289","radA",0,1,0,0,0,0,0,0,0,0,0
"290","ybfF",0,1,0,0,0,0,0,0,0,0,0
"291","rhsC",0,1,0,0,0,0,0,0,0,0,0
"292","rlmL",0,1,0,0,0,0,0,0,0,0,0
"293","pinE",0,1,0,0,0,0,0,0,0,0,0
"294","rsmE",0,1,0,0,0,0,0,0,0,0,0
"295","rsmB",0,1,0,0,0,0,0,0,0,0,0
"296","qorA",0,1,0,0,0,0,0,0,0,0,0
"297","icdC",0,1,0,0,0,0,0,0,0,0,0
"298","yajQ",0,1,0,0,0,0,0,0,0,0,0
"299","sfmD",0,1,0,0,0,0,0,0,0,0,0
"300","quuD",0,1,0,0,0,0,0,0,0,0,0
"301","cmoA",0,1,0,0,0,0,0,0,0,0,0
"302","gmd",0,1,0,0,0,0,0,0,0,0,0
"303","wcaJ",0,1,0,0,0,0,0,0,0,0,0
"304","mepS",0,1,0,0,0,0,0,0,0,0,0
"305","menH",0,1,0,0,0,0,0,0,0,0,0
"306","queC",0,1,0,0,0,0,0,0,0,0,0
"307","yqiK",0,1,0,0,0,0,0,0,0,0,0
"308","ubiD",0,1,0,0,0,0,0,0,0,0,0
"309","lpoB",0,1,0,0,0,0,0,0,0,0,0
"310","rlmB",0,1,0,0,0,0,0,0,0,0,0
"311","tamA",0,1,0,0,0,0,0,0,0,0,0
"312","aslA",0,1,0,0,0,0,0,0,0,0,0
"313","yfcU",0,1,0,0,0,0,0,0,0,0,0
"314","hokA",0,1,0,0,0,0,0,0,0,0,0
"315","insH1",0,1,0,0,0,0,0,0,0,0,0
"316","hscC",0,1,0,0,0,0,0,0,0,0,0
"317","btuR",0,1,0,0,0,0,0,0,0,0,0
"318","tsaB",0,1,0,0,0,0,0,0,0,0,0
"319","eutL",0,1,0,0,0,0,0,0,0,0,0
"320","yfgM",0,1,0,0,0,0,0,0,0,0,0
"321","zupT",0,1,0,0,0,0,0,0,0,0,0
"322","kduD",0,1,0,0,0,0,0,0,0,0,0
"323","bglA",0,1,0,0,0,0,0,0,0,0,0
"324","arpA",0,1,0,0,0,0,0,0,0,0,0
"325","insF1",0,1,0,0,0,0,0,0,0,0,0
"326","insE1",0,1,0,0,0,0,0,0,0,0,0
"327","lptG",0,1,0,0,0,0,0,0,0,0,0
"328","ynaI",0,1,0,0,0,0,0,0,0,0,0
"329","rimL",0,1,0,0,0,0,0,0,0,0,0
"330","ydfT",0,1,0,0,0,0,0,0,0,0,0
"331","hldE",0,1,0,0,0,0,0,0,0,0,0
"332","mtgA",0,1,0,0,0,0,0,0,0,0,0
"333","tsaC",0,1,0,0,0,0,0,0,0,0,0
"334","hemE",0,1,0,0,0,0,0,0,0,0,0
"335","dtpC",0,1,0,0,0,0,0,0,0,0,0
"336","ytjC",0,1,0,0,0,0,0,0,0,0,0
"337","mak",0,1,0,0,0,0,0,0,0,0,0
"338","cydX",0,1,0,0,0,0,0,0,0,0,0
"339","insB1",0,1,0,0,0,0,0,0,0,0,0
"340","yddE",0,1,0,0,0,0,0,0,0,0,0
"341","thpR",0,1,0,0,0,0,0,0,0,0,0
"342","insC1",0,1,0,0,0,0,0,0,0,0,0
"343","rlpA",0,1,0,0,0,0,0,0,0,0,0
"344","ybhA",0,1,0,0,0,0,0,0,0,0,0
"345","gsiB",0,1,0,0,0,0,0,0,0,0,0
"346","rhsE",0,1,0,0,0,0,0,0,0,0,0
"347","cmoB",0,1,0,0,0,0,0,0,0,0,0
"348","yehB",0,1,0,0,0,0,0,0,0,0,0
"349","ptsP",0,1,0,0,0,0,0,0,0,0,0
"350","yqiG",0,1,0,0,0,0,0,0,0,0,0
"351","diaA",0,1,0,0,0,0,0,0,0,0,0
"352","glmM",0,1,0,0,0,0,0,0,0,0,0
"353","elbB",0,1,0,0,0,0,0,0,0,0,0
"354","rhtC",0,1,0,0,0,0,0,0,0,0,0
"355","folM",0,1,0,0,0,0,0,0,0,0,0
"356","gloB",0,1,0,0,0,0,0,0,0,0,0
"357","insC2",0,1,0,0,0,0,0,0,0,0,0
"358","mmuM",0,1,0,0,0,0,0,0,0,0,0
"359","pncA",0,1,0,0,0,0,0,0,0,0,0
"360","insC3",0,1,0,0,0,0,0,0,0,0,0
"361","qseG",0,1,0,0,0,0,0,0,0,0,0
"362","insC4",0,1,0,0,0,0,0,0,0,0,0
"363","plsY",0,1,0,0,0,0,0,0,0,0,0
"364","eptC",0,1,0,0,0,0,0,0,0,0,0
"365","yjaA",0,1,0,0,0,0,0,0,0,0,0
"366","rluF",0,1,0,0,0,0,0,0,0,0,0
"367","tamB",0,1,0,0,0,0,0,0,0,0,0
"368","insC6",0,1,0,0,0,0,0,0,0,0,0
"369","citT",0,1,0,0,0,0,0,0,0,0,0
"370","ybaZ",0,1,0,0,0,0,0,0,0,0,0
"371","rluB",0,1,0,0,0,0,0,0,0,0,0
"372","ydeT",0,1,0,0,0,0,0,0,0,0,0
"373","torZ",0,1,0,0,0,0,0,0,0,0,0
"374","ybgQ",0,1,0,0,0,0,0,0,0,0,0
"375","wzxC",0,1,0,0,0,0,0,0,0,0,0
"376","pdeN",0,1,0,0,0,0,0,0,0,0,0
"377","syd",0,1,0,0,0,0,0,0,0,0,0
"378","dtpD",0,1,0,0,0,0,0,0,0,0,0
"379","bcsA",0,1,0,0,0,0,0,0,0,0,0
"380","ghrB",0,1,0,0,0,0,0,0,0,0,0
"381","yidJ",0,1,0,0,0,0,0,0,0,0,0
"382","yidA",0,1,0,0,0,0,0,0,0,0,0
"383","tldE",0,1,0,0,0,0,0,0,0,0,0
"384","lptF",0,1,0,0,0,0,0,0,0,0,0
"385","yaaA",0,1,0,0,0,0,0,0,0,0,0
"386","dedD",0,1,0,0,0,0,0,0,0,0,0
"387","ybcF",0,1,0,0,0,0,0,0,0,0,0
"388","paoA",0,1,0,0,0,0,0,0,0,0,0
"389","rimO",0,1,0,0,0,0,0,0,0,0,0
"390","mepK",0,1,0,0,0,0,0,0,0,0,0
"391","kilR",0,1,0,0,0,0,0,0,0,0,0
"392","opgD",0,1,0,0,0,0,0,0,0,0,0
"393","ldtE",0,1,0,0,0,0,0,0,0,0,0
"394","nudL",0,1,0,0,0,0,0,0,0,0,0
"395","cpsG",0,1,0,0,0,0,0,0,0,0,0
"396","eutR",0,1,0,0,0,0,0,0,0,0,0
"397","mdtH",0,1,0,0,0,0,0,0,0,0,0
"398","marC",0,1,0,0,0,0,0,0,0,0,0
