"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"236","pinE",0,1,0,0,0,0,0,0,0,0,0,0,0
"237","rsmB",0,1,0,0,0,0,0,0,0,0,0,0,0
"238","icdC",0,1,0,0,0,0,0,0,0,0,0,0,0
"239","yajQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"240","sfmD",0,1,0,0,0,0,0,0,0,0,0,0,0
"241","quuD",0,1,0,0,0,0,0,0,0,0,0,0,0
"242","gmd",0,1,0,0,0,0,0,0,0,0,0,0,0
"243","wcaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"244","mepS",0,1,0,0,0,0,0,0,0,0,0,0,0
"245","yqiK",0,1,0,0,0,0,0,0,0,0,0,0,0
"246","ubiD",0,1,0,0,0,0,0,0,0,0,0,0,0
"247","lpoB",0,1,0,0,0,0,0,0,0,0,0,0,0
"248","rlmB",0,1,0,0,0,0,0,0,0,0,0,0,0
"249","tamA",0,1,0,0,0,0,0,0,0,0,0,0,0
"250","aslA",0,1,0,0,0,0,0,0,0,0,0,0,0
"251","yfcU",0,1,0,0,0,0,0,0,0,0,0,0,0
"252","hokA",0,1,0,0,0,0,0,0,0,0,0,0,0
"253","insH1",0,1,0,0,0,0,0,0,0,0,0,0,0
"254","hscC",0,1,0,0,0,0,0,0,0,0,0,0,0
"255","btuR",0,1,0,0,0,0,0,0,0,0,0,0,0
"256","eutL",0,1,0,0,0,0,0,0,0,0,0,0,0
"257","yfgM",0,1,0,0,0,0,0,0,0,0,0,0,0
"258","kduD",0,1,0,0,0,0,0,0,0,0,0,0,0
"259","bglA",0,1,0,0,0,0,0,0,0,0,0,0,0
"260","arpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"261","insF1",0,1,0,0,0,0,0,0,0,0,0,0,0
"262","insE1",0,1,0,0,0,0,0,0,0,0,0,0,0
"263","lptG",0,1,0,0,0,0,0,0,0,0,0,0,0
"264","ynaI",0,1,0,0,0,0,0,0,0,0,0,0,0
"265","rimL",0,1,0,0,0,0,0,0,0,0,0,0,0
"266","ydfT",0,1,0,0,0,0,0,0,0,0,0,0,0
"267","hldE",0,1,0,0,0,0,0,0,0,0,0,0,0
"268","mtgA",0,1,0,0,0,0,0,0,0,0,0,0,0
"269","hemE",0,1,0,0,0,0,0,0,0,0,0,0,0
"270","ytjC",0,1,0,0,0,0,0,0,0,0,0,0,0
"271","cydX",0,1,0,0,0,0,0,0,0,0,0,0,0
"272","insB1",0,1,0,0,0,0,0,0,0,0,0,0,0
"273","yddE",0,1,0,0,0,0,0,0,0,0,0,0,0
"274","thpR",0,1,0,0,0,0,0,0,0,0,0,0,0
"275","insC1",0,1,0,0,0,0,0,0,0,0,0,0,0
"276","rlpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"277","ybhA",0,1,0,0,0,0,0,0,0,0,0,0,0
"278","gsiB",0,1,0,0,0,0,0,0,0,0,0,0,0
"279","rhsE",0,1,0,0,0,0,0,0,0,0,0,0,0
"280","yehB",0,1,0,0,0,0,0,0,0,0,0,0,0
"281","ptsP",0,1,0,0,0,0,0,0,0,0,0,0,0
"282","yqiG",0,1,0,0,0,0,0,0,0,0,0,0,0
"283","diaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"284","glmM",0,1,0,0,0,0,0,0,0,0,0,0,0
"285","elbB",0,1,0,0,0,0,0,0,0,0,0,0,0
"286","rhtC",0,1,0,0,0,0,0,0,0,0,0,0,0
"287","gloB",0,1,0,0,0,0,0,0,0,0,0,0,0
"288","insC2",0,1,0,0,0,0,0,0,0,0,0,0,0
"289","mmuM",0,1,0,0,0,0,0,0,0,0,0,0,0
"290","pncA",0,1,0,0,0,0,0,0,0,0,0,0,0
"291","insC3",0,1,0,0,0,0,0,0,0,0,0,0,0
"292","insC4",0,1,0,0,0,0,0,0,0,0,0,0,0
"293","plsY",0,1,0,0,0,0,0,0,0,0,0,0,0
"294","yjaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"295","tamB",0,1,0,0,0,0,0,0,0,0,0,0,0
"296","insC6",0,1,0,0,0,0,0,0,0,0,0,0,0
"297","citT",0,1,0,0,0,0,0,0,0,0,0,0,0
"298","ybaZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"299","ydeT",0,1,0,0,0,0,0,0,0,0,0,0,0
"300","torZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"301","ybgQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"302","wzxC",0,1,0,0,0,0,0,0,0,0,0,0,0
"303","pdeN",0,1,0,0,0,0,0,0,0,0,0,0,0
"304","syd",0,1,0,0,0,0,0,0,0,0,0,0,0
"305","dtpD",0,1,0,0,0,0,0,0,0,0,0,0,0
"306","bcsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"307","ghrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"308","yidJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"309","yidA",0,1,0,0,0,0,0,0,0,0,0,0,0
"310","tldE",0,1,0,0,0,0,0,0,0,0,0,0,0
"311","yaaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"312","dedD",0,1,0,0,0,0,0,0,0,0,0,0,0
"313","ybcF",0,1,0,0,0,0,0,0,0,0,0,0,0
"314","paoA",0,1,0,0,0,0,0,0,0,0,0,0,0
"315","kilR",0,1,0,0,0,0,0,0,0,0,0,0,0
"316","opgD",0,1,0,0,0,0,0,0,0,0,0,0,0
"317","nudL",0,1,0,0,0,0,0,0,0,0,0,0,0
"318","cpsG",0,1,0,0,0,0,0,0,0,0,0,0,0
"319","eutR",0,1,0,0,0,0,0,0,0,0,0,0,0
"320","marC",0,1,0,0,0,0,0,0,0,0,0,0,0
"321","yggS",0,1,0,0,0,0,0,0,0,0,0,0,0
"322","yhaC",0,1,0,0,0,0,0,0,0,0,0,0,0
"323","lpoA",0,1,0,0,0,0,0,0,0,0,0,0,0
"324","insJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"325","yiaY",0,1,0,0,0,0,0,0,0,0,0,0,0
