"","V1","FBL_number","No_FBL","FBL"
"703","fdnH",0,0,1
"704","fdnI",0,0,1
"705","hcp",0,0,1
"707","nirB",0,0,1
"708","nirD",0,0,1
"710","nrfB",0,0,1
"711","nrfC",0,0,1
"712","nrfD",0,0,1
"713","ytfE",0,0,1
"714","amtB",0,0,1
"715","argT",0,0,1
"719","ddpX",0,0,1
"720","glnA",0,0,1
"722","glnK",0,0,1
"723","glnL",0,0,1
"724","hisM",0,0,1
"729","potH",0,0,1
"730","potI",0,0,1
"731","yhdW",0,0,1
"733","prpE",0,0,1
"736","betA",0,0,1
"737","betB",0,0,1
"738","betI",0,0,1
"740","lldR",0,0,1
"741","fumB",0,0,1
"747","tdcE",0,0,1
"748","clpA",0,0,1
"749","entF",0,0,1
"751","lysU",0,0,1
"758","phoH",0,0,1
"759","hybD",0,0,1
"761","tonB",0,0,1
"762","hybC",0,0,1
"764","dcuB",0,0,1
"768","ybdZ",0,0,1
"769","leuA",0,0,1
"770","clpS",0,0,1
"772","sodA",0,0,1
"773","fis",48,0,1
"775","frdD",0,0,1
"776","hypD",0,0,1
"779","entB",0,0,1
"780","fhuF",0,0,1
"781","dcuA",0,0,1
"785","fepB",0,0,1
"786","yhbW",0,0,1
"788","fsr",0,0,1
"789","kbl",0,0,1
"791","serA",0,0,1
"792","glpQ",0,0,1
"793","metJ",0,0,1
"794","yceI",0,0,1
"795","smg",0,0,1
"797","ynfE",0,0,1
"798","ompW",0,0,1
"799","efeO",0,0,1
"801","gltI",0,0,1
"802","dcuC",0,0,1
"805","ycgM",0,0,1
"807","fes",0,0,1
"808","entA",0,0,1
"810","yjjI",0,0,1
"811","ogt",0,0,1
"812","mntH",0,0,1
"814","shiA",0,0,1
"816","gcvR",0,0,1
"817","entC",0,0,1
"819","selA",0,0,1
"822","msrA",0,0,1
"823","fadE",0,0,1
"824","ugpC",0,0,1
"825","manZ",0,0,1
"828","yhjE",0,0,1
"829","fepC",0,0,1
"830","mgsA",0,0,1
"831","sucC",0,0,1
"832","hypE",0,0,1
"834","pykA",0,0,1
"835","yaeP",0,0,1
"836","trmA",0,0,1
"837","pepD",0,0,1
"838","yciH",0,0,1
"839","galT",0,0,1
"840","yhdH",0,0,1
"842","sodB",0,0,1
"844","nadB",0,0,1
"846","purT",0,0,1
"848","exbB",0,0,1
"849","yebZ",0,0,1
"850","pnuC",0,0,1
"856","yddA",0,0,1
"858","sanA",0,0,1
"859","manY",0,0,1
"860","hisQ",0,0,1
"862","ydiP",0,0,1
"863","ycjY",0,0,1
"864","tdh",0,0,1
"865","ybjJ",0,0,1
"867","yibQ",0,0,1
"868","ccmF",0,0,1
"869","nth",0,0,1
"870","recC",0,0,1
"872","rpsQ",0,0,1
"873","fepD",0,0,1
