"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"404","mtfA",0,1,0,0,0,0,0,0,0,0,0
"405","btsS",0,1,0,0,0,0,0,0,0,0,0
"406","patZ",1,0,0,1,0,0,0,0,0,0,0
"407","ygiC",1,0,0,0.5,0,0,0,0.5,0,0,0
"408","adeP",0,1,0,0,0,0,0,0,0,0,0
"410","yijD",0,1,0,0,0,0,0,0,0,0,0
"411","bsmA",1,0,0,1,0,0,0,0,0,0,0
"412","rraB",0,1,0,0,0,0,0,0,0,0,0
"413","ynfD",0,1,0,0,0,0,0,0,0,0,0
"414","yqaE",1,0,0,0,0,1,0,0,0,0,0
"415","yqgB",0,1,0,0,0,0,0,0,0,0,0
"417","speG",1,0,0,0,0,0,0,0,0.5,0.5,0
"418","srlA",1,0,0,0.416666666666667,0.0833333333333333,0.0833333333333333,0,0,0,0.416666666666667,0
"419","srlB",1,0,0,0.5,0.1,0,0,0,0,0.4,0
"420","srlD",1,0,0,0.5,0.1,0,0,0,0,0.4,0
"421","srlE",1,0,0,0.5,0.1,0,0,0,0,0.4,0
"422","srlR",1,0,0,1,0,0,0,0,0,0,0
"423","tap",0,1,0,0,0,0,0,0,0,0,0
"424","tar",0,1,0,0,0,0,0,0,0,0,0
"425","tsr",1,0,0,0.5,0,0,0,0,0,0.5,0
"426","tsx",1,0,0,0,0,0,0,0,0,1,0
"427","udp",1,0,0,0.5,0,0,0,0,0,0.5,0
"431","ybeX",0,1,0,0,0,0,0,0,0,0,0
"433","ybeZ",0,1,0,0,0,0,0,0,0,0,0
"435","ybiX",0,1,0,0,0,0,0,0,0,0,0
"436","ybjX",1,0,0,0,0.5,0,0,0,0,0.5,0
"438","ycjX",0,1,0,0,0,0,0,0,0,0,0
"439","yeaD",1,0,0,0,0,0,0,0,0,1,0
"441","yecR",0,1,0,0,0,0,0,0,0,0,0
"443","yffB",1,0,0,1,0,0,0,0,0,0,0
"445","ygiS",0,1,0,0,0,0,0,0,0,0,0
"446","tusB",0,1,0,0,0,0,0,0,0,0,0
"447","yhhQ",0,1,0,0,0,0,0,0,0,0,0
"449","yiaD",0,1,0,0,0,0,0,0,0,0,0
"450","rdcA",1,0,0,0,0,0,0,0,0,1,0
"451","ykfB",0,1,0,0,0,0,0,0,0,0,0
"452","ymdA",0,1,0,0,0,0,0,0,0,0,0
"453","yneE",0,1,0,0,0,0,0,0,0,0,0
"454","ynfB",1,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0
"455","zntR",0,1,0,0,0,0,0,0,0,0,0
"458","dnaA",1,0,0,0,0,0,0,0,0,1,0
"459","dnaN",1,0,0,0.5,0,0,0,0,0,0.5,0
"460","entE",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"461","fecA",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"462","fecB",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"463","fecC",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"464","fecD",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"465","fecE",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"466","fepA",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"467","fhuC",1,0,0,0,0,0,0,0,0,1,0
"471","fucK",1,0,0,0.6,0,0.2,0,0,0,0.2,0
"472","galK",1,0,0,0.25,0,0,0,0,0,0.75,0
"473","gntT",1,0,0,0.5,0,0,0,0,0,0.5,0
"474","gpmM",1,0,0,1,0,0,0,0,0,0,0
"475","gpsA",1,0,0,1,0,0,0,0,0,0,0
"477","hslR",0,1,0,0,0,0,0,0,0,0,0
"478","hupA",1,0,0,0,0,0,0,1,0,0,0
"479","hybA",1,0,0,0,0,0,0,0,0,1,0
"480","idnT",1,0,0,0.5,0.5,0,0,0,0,0,0
"481","lnt",0,1,0,0,0,0,0,0,0,0,0
"483","malF",1,0,0,0.7,0,0,0,0.2,0,0.1,0
"484","malG",1,0,0,0.7,0,0,0,0.2,0,0.1,0
"485","malK",1,0,0,1,0,0,0,0,0,0,0
"486","malM",1,0,0,1,0,0,0,0,0,0,0
"487","malP",1,0,0,1,0,0,0,0,0,0,0
"491","mltB",0,1,0,0,0,0,0,0,0,0,0
"493","murG",1,0,0,0,0.2,0,0.2,0,0,0.6,0
"495","narY",0,1,0,0,0,0,0,0,0,0,0
"496","nrdF",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"497","pflC",0,1,0,0,0,0,0,0,0,0,0
"499","phoB",0,1,0,0,0,0,0,0,0,0,0
"500","phoU",1,0,0,0.8,0,0,0,0.2,0,0,0
"501","aceE",1,0,0,0.181818181818182,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.363636363636364,0
"503","adk",0,1,0,0,0,0,0,0,0,0,0
