"","V1","FFL","No_FFL","NonPl_X"
"689","hcaR",0,1,0
"690","iscR",1,0,0
"691","nrdE",1,0,0
"692","nrdH",1,0,0
"693","nrdI",1,0,0
"694","sufA",1,0,0
"695","sufB",1,0,0
"696","sufC",1,0,0
"697","sufD",1,0,0
"698","sufE",1,0,0
"699","sufS",1,0,0
"700","mhpA",1,0,0
"701","fdhF",1,0,0
"702","fdnG",1,0,0
"703","fdnH",1,0,0
"704","fdnI",1,0,0
"705","hcp",1,0,0
"706","hcr",1,0,0
"707","nirB",1,0,0
"708","nirD",1,0,0
"709","nrfA",1,0,0
"710","nrfB",1,0,0
"711","nrfC",1,0,0
"712","nrfD",1,0,0
"713","ytfE",1,0,0
"714","amtB",1,0,0
"715","argT",1,0,0
"716","ddpA",1,0,0
"717","ddpB",1,0,0
"718","ddpD",1,0,0
"719","ddpX",1,0,0
"720","glnA",1,0,0
"721","glnG",1,0,0
"722","glnK",1,0,0
"723","glnL",1,0,0
"724","hisM",1,0,0
"725","hisP",1,0,0
"726","patA",1,0,0
"727","potF",1,0,0
"728","potG",1,0,0
"729","potH",1,0,0
"730","potI",1,0,0
"731","yhdW",0,1,0
"732","pdeL",1,0,0
"733","prpE",1,0,0
"734","appA",1,0,0
"735","appB",1,0,0
"736","betA",1,0,0
"737","betB",1,0,0
"738","betI",1,0,0
"739","caiD",1,0,0
"740","lldR",1,0,0
"741","fumB",1,0,0
"742","hybE",1,0,0
"743","hybB",1,0,0
"744","dmsA",1,0,0
"745","hybF",1,0,0
"746","hybO",1,0,0
"747","tdcE",1,0,0
"748","clpA",0,1,0
"749","entF",1,0,0
"750","tdcD",1,0,0
"751","lysU",1,0,0
"752","ynfG",1,0,0
"753","pepE",0,1,0
"754","ansB",1,0,0
"755","ydcZ",0,1,0
"756","hypA",1,0,0
"757","tdcF",1,0,0
"758","phoH",1,0,0
"759","hybD",1,0,0
"760","ynfF",1,0,0
"761","tonB",0,1,0
"762","hybC",1,0,0
"763","hypB",1,0,0
"764","dcuB",1,0,0
"765","frdB",1,0,0
"766","hypC",1,0,0
"767","rsxE",0,1,0
"768","ybdZ",1,0,0
"769","leuA",1,0,0
"770","clpS",1,0,0
"771","icd",1,0,0
"772","sodA",1,0,0
"773","fis",1,0,0
"774","tdcA",1,0,0
"775","frdD",1,0,0
"776","hypD",1,0,0
"777","ydhV",1,0,0
"778","dmsB",1,0,0
"779","entB",1,0,0
"780","fhuF",1,0,0
"781","dcuA",1,0,0
"782","pgl",0,1,0
"783","dmsD",1,0,0
"784","ydjA",0,1,0
"785","fepB",1,0,0
"786","yhbW",1,0,0
"787","mdtI",1,0,0
"788","fsr",0,1,0
"789","kbl",1,0,0
"790","kefB",0,1,0
"791","serA",1,0,0
"792","glpQ",1,0,0
"793","metJ",1,0,0
"794","yceI",1,0,0
"795","smg",0,1,0
"796","ulaC",1,0,0
"797","ynfE",1,0,0
"798","ompW",1,0,0
"799","efeO",0,1,0
"800","yqiA",0,1,0
"801","gltI",1,0,0
"802","dcuC",1,0,0
"803","yfeC",0,1,0
"804","leuD",1,0,0
"805","ycgM",0,1,0
"806","hybG",1,0,0
"807","fes",1,0,0
"808","entA",1,0,0
"809","yoaB",0,1,0
"810","yjjI",0,1,0
"811","ogt",1,0,0
"812","mntH",1,0,0
"813","leuC",1,0,0
"814","shiA",1,0,0
"815","leuB",1,0,0
"816","gcvR",0,1,0
"817","entC",1,0,0
"818","ravA",1,0,0
"819","selA",0,1,0
"820","efeU",0,1,0
"821","ispU",0,1,0
"822","msrA",1,0,0
"823","fadE",1,0,0
"824","ugpC",1,0,0
"825","manZ",1,0,0
"826","ccmD",1,0,0
"827","ydhY",1,0,0
"828","yhjE",1,0,0
"829","fepC",1,0,0
"830","mgsA",0,1,0
"831","sucC",1,0,0
"832","hypE",1,0,0
"833","csrD",0,1,0
"834","pykA",1,0,0
"835","yaeP",0,1,0
"836","trmA",1,0,0
"837","pepD",1,0,0
"838","yciH",1,0,0
"839","galT",1,0,0
"840","yhdH",0,1,0
"841","ynfH",1,0,0
"842","sodB",1,0,0
"843","sstT",1,0,0
"844","nadB",0,1,0
"845","ybjI",0,1,0
"846","purT",1,0,0
"847","fdoI",0,1,0
"848","exbB",1,0,0
"849","yebZ",0,1,0
"850","pnuC",0,1,0
"851","rutE",1,0,0
"852","yeiE",0,1,0
"853","moeA",1,0,0
"854","melA",1,0,0
"855","ilvE",1,0,0
"856","yddA",0,1,0
"857","cysE",1,0,0
"858","sanA",0,1,0
"859","manY",1,0,0
"860","hisQ",1,0,0
"861","dfp",0,1,0
"862","ydiP",0,1,0
"863","ycjY",0,1,0
"864","tdh",1,0,0
"865","ybjJ",0,1,0
"866","yhfK",0,1,0
"867","yibQ",1,0,0
"868","ccmF",1,0,0
"869","nth",0,1,0
"870","recC",1,0,0
"871","aegA",0,1,0
"872","rpsQ",1,0,0
"873","fepD",1,0,0
"874","yfeD",0,1,0
"875","aqpZ",0,1,0
"876","gltL",1,0,0
"877","cycA",1,0,0
"878","aroF",1,0,0
"879","gcvP",1,0,0
"880","yebY",0,1,0
"881","mutM",1,0,0
"882","mdtC",1,0,0
"883","exbD",1,0,0
"884","ydhW",1,0,0
"885","crl",0,1,0
"886","znuB",1,0,0
"887","torD",1,0,0
"888","gltP",1,0,0
"889","agaV",1,0,0
"890","sucB",1,0,0
"891","yafD",1,0,0
"892","ilvM",1,0,0
"893","cdsA",0,1,0
"894","pyrD",1,0,0
"895","glgC",1,0,0
"896","amn",1,0,0
"897","uhpB",0,1,0
"898","ybhG",0,1,0
"899","pck",1,0,0
"900","rimJ",0,1,0
"901","iscA",1,0,0
"902","chaA",1,0,0
"903","ydhR",0,1,0
"904","pflB",1,0,0
"905","ydgJ",0,1,0
"906","acs",1,0,0
"907","asd",1,0,0
"908","tpx",1,0,0
"909","emrD",1,0,0
"910","yjjP",1,0,0
"911","ydiE",0,1,0
"912","glgA",1,0,0
"913","yqaB",0,1,0
"914","ais",0,1,0
"915","aroD",1,0,0
"916","yiiQ",0,1,0
"917","napH",1,0,0
"918","ccmH",1,0,0
"919","ybiV",0,1,0
"920","efp",0,1,0
"921","hemD",0,1,0
"922","pykF",1,0,0
"923","efeB",0,1,0
"924","uspE",1,0,0
"925","ilvI",1,0,0
"926","glpK",1,0,0
"927","eda",1,0,0
"928","pheP",0,1,0
"929","cysK",1,0,0
"930","napF",1,0,0
"931","ynaJ",0,1,0
"932","torA",1,0,0
"933","nanE",1,0,0
"934","thiD",0,1,0
"935","ydhP",0,1,0
"936","galP",1,0,0
"937","yojI",1,0,0
"938","osmC",1,0,0
"939","cadA",1,0,0
"940","yhbS",0,1,0
"941","msrB",1,0,0
"942","ung",1,0,0
"943","zraR",1,0,0
"944","trmH",1,0,0
"945","ybaN",0,1,0
"946","trpA",1,0,0
"947","brnQ",0,1,0
"948","envC",1,0,0
"949","galE",1,0,0
"950","fumC",1,0,0
"951","bfd",0,1,0
"952","yjjW",0,1,0
"953","crr",1,0,0
