"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"161","glgC",1,0,0.166666666666667,0.416666666666667,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0
"162","yebY",0,1,0,0,0,0,0,0,0,0,0,0,0
"163","fdx",0,1,0,0,0,0,0,0,0,0,0,0,0
"164","hcp",1,0,0.875,0,0,0,0,0,0.125,0,0,0,0
"165","fliF",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884,0
"166","yafD",1,0,1,0,0,0,0,0,0,0,0,0,0
"167","nadA",0,1,0,0,0,0,0,0,0,0,0,0,0
"168","clpA",0,1,0,0,0,0,0,0,0,0,0,0,0
"169","gatA",1,0,0,1,0,0,0,0,0,0,0,0,0
"170","appA",1,0,0.7,0,0,0.1,0,0,0.2,0,0,0,0
"171","ydhR",0,1,0,0,0,0,0,0,0,0,0,0,0
"172","fliK",1,0,0.144927536231884,0.115942028985507,0.0144927536231884,0.318840579710145,0.144927536231884,0.0144927536231884,0,0.115942028985507,0.115942028985507,0.0144927536231884,0
"173","potG",1,0,1,0,0,0,0,0,0,0,0,0,0
"174","ygdQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"175","pdxY",0,1,0,0,0,0,0,0,0,0,0,0,0
"176","ccmF",1,0,0.242424242424242,0.0909090909090909,0,0.545454545454545,0,0,0.121212121212121,0,0,0,0
"177","ynaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"178","ydfG",0,1,0,0,0,0,0,0,0,0,0,0,0
"179","aspC",1,0,0,1,0,0,0,0,0,0,0,0,0
"180","flgI",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0,0
"181","mdtL",0,1,0,0,0,0,0,0,0,0,0,0,0
"182","aroF",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"183","rnt",0,1,0,0,0,0,0,0,0,0,0,0,0
"184","yhiD",1,0,0.176470588235294,0.352941176470588,0.137254901960784,0.0392156862745098,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0588235294117647,0.0784313725490196,0.0196078431372549,0
"185","yjaH",0,1,0,0,0,0,0,0,0,0,0,0,0
"186","sufC",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"187","uspE",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"188","efeU",0,1,0,0,0,0,0,0,0,0,0,0,0
"189","clpS",1,0,0,0,0,0,1,0,0,0,0,0,0
"190","ulaR",0,1,0,0,0,0,0,0,0,0,0,0,0
"191","chaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"192","ycjF",0,1,0,0,0,0,0,0,0,0,0,0,0
"193","glgS",1,0,0.25,0.75,0,0,0,0,0,0,0,0,0
"194","ogt",1,0,0,1,0,0,0,0,0,0,0,0,0
"195","ymdA",1,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0
"196","artM",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"197","hisI",0,1,0,0,0,0,0,0,0,0,0,0,0
"198","betI",1,0,1,0,0,0,0,0,0,0,0,0,0
