"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"189","hypB",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"190","dcuB",1,0,0,0,0,0,0,0,0,0,1
"191","frdB",1,0,0,0,0,0,0,0,0,0,1
"192","hypC",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"193","rsxE",0,1,0,0,0,0,0,0,0,0,0
"194","ybdZ",1,0,0,0,0,0,0,0,0,0,1
"195","leuA",1,0,0,0,0,0,0,0,0,0,1
"196","clpS",0,1,0,0,0,0,0,0,0,0,0
"197","icd",1,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667
"198","gpmA",1,0,0,0,0,0,0,0,0,0,1
"199","yfcZ",1,0,0,0,0,0,0,0,0,0,1
"200","sodA",1,0,0.0606060606060606,0,0,0.0606060606060606,0.0909090909090909,0,0,0,0.787878787878787
"201","fis",1,0,0,0,0,0,0,0.222222222222222,0,0,0.777777777777778
"202","gltA",1,0,0,0,0,0,0,0.25,0,0,0.75
"203","tdcA",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333
"204","aspA",1,0,0,0,0,0,0,0,0,0,1
"205","fdoH",0,1,0,0,0,0,0,0,0,0,0
"206","frdD",1,0,0,0,0,0,0,0,0,0,1
"207","nadA",0,1,0,0,0,0,0,0,0,0,0
"208","hypD",1,0,0,0.4,0,0.2,0,0.2,0,0,0.2
"209","ydhV",1,0,0,0,0,0,0,0,0,0,1
"210","dmsB",1,0,0.25,0,0,0,0.166666666666667,0,0,0.166666666666667,0.416666666666667
"211","glpX",1,0,0,0,0,0,0,0,0,0,1
"212","entB",1,0,0,0,0,0,0,0,0,0,1
"213","fhuF",1,0,0,0,0,0,0,0,0,0,1
"214","gdhA",1,0,0,0,0,0,0.0909090909090909,0,0,0,0.909090909090909
"215","dcuA",1,0,0,0,0,0,0,0,0,0,1
"216","dadA",0,1,0,0,0,0,0,0,0,0,0
"217","pgl",0,1,0,0,0,0,0,0,0,0,0
"218","dmsD",1,0,0,0,0,0,0,0,0,0,1
"219","ydjA",0,1,0,0,0,0,0,0,0,0,0
"220","fepB",1,0,0,0,0,0,0,0,0,0,1
"221","yhbW",1,0,0,0,0,0,0,0,0,0,1
"222","fucI",1,0,0,0.166666666666667,0,0,0,0,0,0,0.833333333333333
"223","mdtI",1,0,0,0,0,0,0,0,0,0,1
"224","fsr",0,1,0,0,0,0,0,0,0,0,0
"225","kbl",0,1,0,0,0,0,0,0,0,0,0
"226","kefB",0,1,0,0,0,0,0,0,0,0,0
"227","serA",1,0,0,0,0,0,0,0,0,0,1
"228","glpQ",1,0,0,0,0,0,0.153846153846154,0,0,0.307692307692308,0.538461538461539
"229","sucD",1,0,0.111111111111111,0,0,0.0555555555555556,0.111111111111111,0,0,0,0.722222222222222
"230","metJ",1,0,0,0,0,0,0,0,0,0,1
"231","yceI",1,0,0,0,0,0,0,0,0,0,1
"232","sdaC",0,1,0,0,0,0,0,0,0,0,0
"233","ycdX",0,1,0,0,0,0,0,0,0,0,0
"234","smg",0,1,0,0,0,0,0,0,0,0,0
"235","ulaC",1,0,0,0,0,0,0.5,0,0,0,0.5
"236","gcvT",1,0,0,0,0,0,0,0,0,0,1
"237","ynfE",1,0,0,0,0,0,0,0,0,0,1
"238","nrdD",1,0,0,0,0,0,0,0,0,0,1
"239","ompW",1,0,0,0,0,0,0,0,0,0,1
"240","efeO",0,1,0,0,0,0,0,0,0,0,0
"241","malP",1,0,0,0,0,0,0,0,0,0,1
"242","yqiA",0,1,0,0,0,0,0,0,0,0,0
"243","gltI",1,0,0,0,0,0,0,0,0,0,1
"244","dcuC",1,0,0,0,0,0,0,0,0,0,1
"245","yfeC",0,1,0,0,0,0,0,0,0,0,0
"246","leuD",1,0,0,0,0,0,0,0,0,0,1
"247","ycgM",0,1,0,0,0,0,0,0,0,0,0
"248","hybG",1,0,0,0,0,0,0,0,0,0,1
"249","mdtJ",1,0,0,0,0,0,0,0,0,0,1
"250","fes",1,0,0,0,0,0,0,0,0,0,1
"251","entA",1,0,0,0,0,0,0,0,0,0,1
"252","entE",1,0,0,0,0,0,0,0,0,0,1
"253","yoaB",0,1,0,0,0,0,0,0,0,0,0
"254","yjjI",0,1,0,0,0,0,0,0,0,0,0
"255","ogt",0,1,0,0,0,0,0,0,0,0,0
"256","mntH",1,0,0,0,0,0,0,0,0,0,1
"257","leuC",1,0,0,0,0,0,0,0,0,0,1
"258","shiA",1,0,0,0,0,0,0,0,0,0,1
"259","dcuS",1,0,0,0,0,0,0,0,0,0,1
"260","leuB",1,0,0,0,0,0,0,0,0,0,1
"261","sdhB",1,0,0,0,0,0.125,0,0,0,0,0.875
"262","gcvR",0,1,0,0,0,0,0,0,0,0,0
"263","dadX",1,0,0,0,0,0,0,0,0,0,1
"264","entC",1,0,0,0,0,0,0,0,0,0,1
"265","ravA",0,1,0,0,0,0,0,0,0,0,0
"266","selA",0,1,0,0,0,0,0,0,0,0,0
"267","fucK",1,0,0,0.166666666666667,0,0,0,0,0,0,0.833333333333333
"268","efeU",0,1,0,0,0,0,0,0,0,0,0
"269","manX",1,0,0,0,0,0,0.125,0,0,0.125,0.75
"270","ispU",0,1,0,0,0,0,0,0,0,0,0
"271","msrA",0,1,0,0,0,0,0,0,0,0,0
"272","fadE",1,0,0,0,0,0,0,0,0,0,1
