"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"188","sucD",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0
"189","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"190","sdaC",0,1,0,0,0,0,0,0,0,0
"191","smg",0,1,0,0,0,0,0,0,0,0
"192","cyoD",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"193","ycgM",0,1,0,0,0,0,0,0,0,0
"194","fucK",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0
"195","iscR",1,0,0,0,0,0,0,0,1,0
"196","mgsA",0,1,0,0,0,0,0,0,0,0
"197","sucC",1,0,0.1,0.2,0.15,0.05,0.1,0.1,0.3,0
"198","pepD",1,0,0,0,0,0,0,0,1,0
"199","yciH",1,0,0,1,0,0,0,0,0,0
"200","exbB",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"201","cyoC",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"202","pnuC",0,1,0,0,0,0,0,0,0,0
"203","sanA",0,1,0,0,0,0,0,0,0,0
"204","cyoB",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"205","uvrY",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"206","yfeD",0,1,0,0,0,0,0,0,0,0
"207","exbD",1,0,0,0,0,0,0,0,1,0
"208","yeaC",0,1,0,0,0,0,0,0,0,0
"209","sucB",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0
"210","ilvM",1,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0
"211","eco",0,1,0,0,0,0,0,0,0,0
"212","rimJ",0,1,0,0,0,0,0,0,0,0
"213","ydhR",0,1,0,0,0,0,0,0,0,0
"214","ais",0,1,0,0,0,0,0,0,0,0
"215","ybiV",0,1,0,0,0,0,0,0,0,0
"216","pykF",1,0,0,1,0,0,0,0,0,0
"217","yejG",0,1,0,0,0,0,0,0,0,0
"218","cyoA",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"219","ynaJ",0,1,0,0,0,0,0,0,0,0
"220","osmC",1,0,0,0.571428571428571,0,0.285714285714286,0,0,0.142857142857143,0
"221","yhbS",0,1,0,0,0,0,0,0,0,0
"222","ung",0,1,0,0,0,0,0,0,0,0
"223","bfd",0,1,0,0,0,0,0,0,0,0
"224","yeeN",0,1,0,0,0,0,0,0,0,0
"225","yedE",0,1,0,0,0,0,0,0,0,0
"226","yceH",0,1,0,0,0,0,0,0,0,0
"227","ylaC",0,1,0,0,0,0,0,0,0,0
"228","yceB",0,1,0,0,0,0,0,0,0,0
"229","ftsZ",1,0,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0.636363636363636,0
"230","aroG",1,0,0,0.5,0,0,0,0,0.5,0
"231","ptsG",1,0,0,0.4,0,0,0,0,0.6,0
"232","ycgM",0,1,0,0,0,0,0,0,0,0
"233","pepD",1,0,0,0,0,0,0,0,1,0
"234","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"235","mgsA",0,1,0,0,0,0,0,0,0,0
"236","yciH",1,0,0,1,0,0,0,0,0,0
"237","yfeD",0,1,0,0,0,0,0,0,0,0
"238","bfd",0,1,0,0,0,0,0,0,0,0
"239","dadA",0,1,0,0,0,0,0,0,0,0
"240","sanA",0,1,0,0,0,0,0,0,0,0
"241","nrdH",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"242","ais",0,1,0,0,0,0,0,0,0,0
"243","smg",0,1,0,0,0,0,0,0,0,0
"244","fis",1,0,0,0.222222222222222,0,0.444444444444444,0,0.222222222222222,0.111111111111111,0
"245","fucK",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0
"246","gltA",1,0,0,0.25,0.125,0,0.125,0.25,0.25,0
"247","ybiV",0,1,0,0,0,0,0,0,0,0
"248","clpA",0,1,0,0,0,0,0,0,0,0
"249","ydhR",0,1,0,0,0,0,0,0,0,0
"250","ynaJ",0,1,0,0,0,0,0,0,0,0
"251","cspG",0,1,0,0,0,0,0,0,0,0
"252","flhC",1,0,0.121212121212121,0.151515151515152,0.121212121212121,0,0.272727272727273,0,0.333333333333333,0
"253","glpF",1,0,0,0.25,0.25,0,0,0,0.5,0
"254","cspA",1,0,0,0.5,0,0,0,0,0.5,0
"255","glpT",1,0,0,0.1875,0.0625,0,0.25,0.0625,0.1875,0.25
"256","flhD",1,0,0.121212121212121,0.151515151515152,0.121212121212121,0,0.272727272727273,0,0.333333333333333,0
"257","pspC",1,0,0,0,0,0,0,1,0,0
"258","pspA",1,0,0,0,0,0,0,1,0,0
"259","pspB",1,0,0,0,0,0,0,1,0,0
"260","miaA",1,0,0,1,0,0,0,0,0,0
"261","secE",0,1,0,0,0,0,0,0,0,0
"262","speE",0,1,0,0,0,0,0,0,0,0
"263","tsx",1,0,0,0,0,0,0,0,1,0
"264","rplY",1,0,0,0,0,0.5,0,0,0.5,0
"265","speD",0,1,0,0,0,0,0,0,0,0
"266","ybfA",0,1,0,0,0,0,0,0,0,0
"267","yhjR",1,0,0,1,0,0,0,0,0,0
"268","potA",0,1,0,0,0,0,0,0,0,0
"269","speB",1,0,0,0.5,0,0,0,0,0.5,0
"270","stpA",1,0,0,0.2,0,0.4,0,0,0.4,0
"271","thiI",0,1,0,0,0,0,0,0,0,0
"272","rpsA",1,0,0,0,0,0.5,0,0,0.5,0
"273","pcnB",1,0,0,0.25,0,0.25,0,0,0.25,0.25
"274","yhbE",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"275","yidC",0,1,0,0,0,0,0,0,0,0
"276","secA",0,1,0,0,0,0,0,0,0,0
"277","yqgB",0,1,0,0,0,0,0,0,0,0
"278","rnpA",0,1,0,0,0,0,0,0,0,0
"279","pyrG",0,1,0,0,0,0,0,0,0,0
"280","yebC",0,1,0,0,0,0,0,0,0,0
"281","pyrF",1,0,0,1,0,0,0,0,0,0
"282","queA",0,1,0,0,0,0,0,0,0,0
"283","rpsT",0,1,0,0,0,0,0,0,0,0
"284","rpsF",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"285","yhdZ",1,0,0,1,0,0,0,0,0,0
"286","atpB",1,0,0,1,0,0,0,0,0,0
"287","metK",1,0,0,0.2,0,0.2,0,0,0.6,0
"288","ydiY",0,1,0,0,0,0,0,0,0,0
"289","soxS",1,0,0,0.2,0,0.3,0.1,0,0.4,0
"290","nlpA",1,0,0,0,0,1,0,0,0,0
"291","rnb",0,1,0,0,0,0,0,0,0,0
"292","potB",0,1,0,0,0,0,0,0,0,0
"293","guaA",1,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.5,0
"294","greA",1,0,0,1,0,0,0,0,0,0
"295","ybfE",0,1,0,0,0,0,0,0,0,0
"296","spoT",1,0,0,0,0,0.5,0,0,0.5,0
"297","rpsB",0,1,0,0,0,0,0,0,0,0
"298","aroA",1,0,0,0,0,0,0,0,1,0
"299","modA",1,0,0,1,0,0,0,0,0,0
"300","atpE",0,1,0,0,0,0,0,0,0,0
"301","priB",1,0,0,0.142857142857143,0,0,0.285714285714286,0,0.571428571428571,0
"302","prfC",0,1,0,0,0,0,0,0,0,0
"303","purB",1,0,0,0,0,0,0,0,1,0
"304","tsf",1,0,0,0,0,0,0,0,1,0
"305","cobS",0,1,0,0,0,0,0,0,0,0
"306","yfhL",0,1,0,0,0,0,0,0,0,0
"307","apt",0,1,0,0,0,0,0,0,0,0
"308","yhcN",0,1,0,0,0,0,0,0,0,0
"309","gpt",1,0,0,0,0,0,0,0,1,0
"310","uraA",1,0,0,1,0,0,0,0,0,0
"311","yehS",0,1,0,0,0,0,0,0,0,0
"312","glgS",1,0,0,0,0,0,0,0.5,0.5,0
"313","ymdA",0,1,0,0,0,0,0,0,0,0
"314","argT",1,0,0,0.5,0,0,0,0.5,0,0
"315","ybgI",0,1,0,0,0,0,0,0,0,0
"316","rmf",0,1,0,0,0,0,0,0,0,0
"317","motA",0,1,0,0,0,0,0,0,0,0
"318","glcC",1,0,0,0.2,0,0.2,0,0,0.4,0.2
"319","yihX",0,1,0,0,0,0,0,0,0,0
"320","yfdY",0,1,0,0,0,0,0,0,0,0
"321","rsd",1,0,0,0.375,0,0.375,0,0,0.25,0
"322","cheA",0,1,0,0,0,0,0,0,0,0
"323","uspA",1,0,0,0.25,0,0,0,0.5,0.25,0
"324","mrr",0,1,0,0,0,0,0,0,0,0
"325","srmB",0,1,0,0,0,0,0,0,0,0
"326","yecA",0,1,0,0,0,0,0,0,0,0
"327","yaeH",0,1,0,0,0,0,0,0,0,0
"328","flgI",1,0,0,1,0,0,0,0,0,0
"329","ygiC",1,0,0,0.5,0,0,0,0.5,0,0
"330","yjaB",0,1,0,0,0,0,0,0,0,0
"331","yigI",0,1,0,0,0,0,0,0,0,0
"332","yiiS",0,1,0,0,0,0,0,0,0,0
"333","grxB",0,1,0,0,0,0,0,0,0,0
"334","yacL",0,1,0,0,0,0,0,0,0,0
"335","ybhC",0,1,0,0,0,0,0,0,0,0
"336","arcA",0,1,0,0,0,0,0,0,0,0
"337","ygdR",0,1,0,0,0,0,0,0,0,0
"338","ybjX",1,0,0,0,0,0.5,0,0,0.5,0
"339","flgH",1,0,0,1,0,0,0,0,0,0
"340","mscL",0,1,0,0,0,0,0,0,0,0
"341","yjeI",0,1,0,0,0,0,0,0,0,0
"342","hdhA",0,1,0,0,0,0,0,0,0,0
"343","ycbZ",0,1,0,0,0,0,0,0,0,0
"344","osmE",1,0,0.222222222222222,0.111111111111111,0,0,0.222222222222222,0,0.444444444444444,0
"345","rof",0,1,0,0,0,0,0,0,0,0
"346","elaB",0,1,0,0,0,0,0,0,0,0
"347","yqjC",0,1,0,0,0,0,0,0,0,0
"348","yhaH",0,1,0,0,0,0,0,0,0,0
"349","ndk",0,1,0,0,0,0,0,0,0,0
"350","atpF",0,1,0,0,0,0,0,0,0,0
"351","ytfK",1,0,0.25,0,0,0.25,0.25,0.25,0,0
"352","nuoK",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"353","cysQ",0,1,0,0,0,0,0,0,0,0
"354","surA",0,1,0,0,0,0,0,0,0,0
"355","holA",0,1,0,0,0,0,0,0,0,0
"356","elaA",0,1,0,0,0,0,0,0,0,0
"357","bolA",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"358","prc",0,1,0,0,0,0,0,0,0,0
"359","nrdB",1,0,0,0.333333333333333,0,0,0,0.166666666666667,0.5,0
"360","yeaO",0,1,0,0,0,0,0,0,0,0
"361","yciI",0,1,0,0,0,0,0,0,0,0
"362","flgF",1,0,0,1,0,0,0,0,0,0
"363","flgD",1,0,0,1,0,0,0,0,0,0
"364","rbfA",1,0,0,0.25,0.25,0,0,0,0.5,0
"365","nuoH",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"366","fadL",1,0,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143
"367","iclR",0,1,0,0,0,0,0,0,0,0
"368","speA",1,0,0,0,0,0,0,0,1,0
"369","csdA",0,1,0,0,0,0,0,0,0,0
"370","dnaK",0,1,0,0,0,0,0,0,0,0
"371","flgG",1,0,0,1,0,0,0,0,0,0
"372","aspS",0,1,0,0,0,0,0,0,0,0
"373","flgE",1,0,0,1,0,0,0,0,0,0
"374","purU",1,0,0,0,0,0,0,0,1,0
"375","rpoD",1,0,0,0.5,0,0,0,0,0,0.5
"376","hslR",0,1,0,0,0,0,0,0,0,0
"377","nupC",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"378","yccA",1,0,0,1,0,0,0,0,0,0
"379","narP",0,1,0,0,0,0,0,0,0,0
"380","yjiX",0,1,0,0,0,0,0,0,0,0
"381","valS",1,0,0,1,0,0,0,0,0,0
"382","ibpA",1,0,0,0.5,0,0,0,0.5,0,0
"383","ydgK",0,1,0,0,0,0,0,0,0,0
"384","atpH",1,0,0,0,0,0,0,0,1,0
"385","accB",1,0,0,1,0,0,0,0,0,0
"386","evgA",1,0,0,0.5,0,0,0,0,0.5,0
"387","trxC",1,0,0,1,0,0,0,0,0,0
"388","yaiA",1,0,0,0,0,0,0,0,1,0
"389","ibpB",1,0,0,0.375,0,0,0,0.375,0.25,0
"390","dinI",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"391","ucpA",0,1,0,0,0,0,0,0,0,0
"392","sbmC",0,1,0,0,0,0,0,0,0,0
"393","atpG",0,1,0,0,0,0,0,0,0,0
"394","oppB",1,0,0.5,0,0,0,0.5,0,0,0
"395","ygdQ",0,1,0,0,0,0,0,0,0,0
"396","exuR",1,0,0.25,0,0,0,0,0,0.5,0.25
"397","lexA",0,1,0,0,0,0,0,0,0,0
"398","hslV",0,1,0,0,0,0,0,0,0,0
"399","pfkB",0,1,0,0,0,0,0,0,0,0
"400","bfr",0,1,0,0,0,0,0,0,0,0
"401","ybaQ",0,1,0,0,0,0,0,0,0,0
"402","pstS",1,0,0,0.666666666666667,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0,0
"403","nuoJ",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"404","ybhB",0,1,0,0,0,0,0,0,0,0
"405","gnsB",0,1,0,0,0,0,0,0,0,0
"406","accC",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"407","osmB",1,0,0,1,0,0,0,0,0,0
"408","cspE",1,0,0,0.2,0,0,0.4,0,0.4,0
"409","phoB",0,1,0,0,0,0,0,0,0,0
"410","yrbL",1,0,0,1,0,0,0,0,0,0
"411","ybcM",0,1,0,0,0,0,0,0,0,0
"412","yqcA",0,1,0,0,0,0,0,0,0,0
"413","dinJ",1,0,0,0,0,0.285714285714286,0.285714285714286,0,0.428571428571429,0
"414","lpxC",1,0,0,0,0,0.2,0.2,0,0.6,0
"415","ydgC",0,1,0,0,0,0,0,0,0,0
"416","ymgD",0,1,0,0,0,0,0,0,0,0
"417","ychN",0,1,0,0,0,0,0,0,0,0
"418","yagU",1,0,0,0.5,0,0,0,0.5,0,0
"419","dsbB",0,1,0,0,0,0,0,0,0,0
"420","dgkA",0,1,0,0,0,0,0,0,0,0
"421","ybjQ",0,1,0,0,0,0,0,0,0,0
"422","hha",1,0,0,0.5,0,0,0,0,0.5,0
"423","yddM",0,1,0,0,0,0,0,0,0,0
"424","ygiN",0,1,0,0,0,0,0,0,0,0
"425","rpoE",1,0,0,0.391304347826087,0.0869565217391304,0,0.0869565217391304,0.0869565217391304,0.347826086956522,0
"426","nlpC",0,1,0,0,0,0,0,0,0,0
"427","ytfB",0,1,0,0,0,0,0,0,0,0
"428","yniB",0,1,0,0,0,0,0,0,0,0
"429","ydgD",0,1,0,0,0,0,0,0,0,0
"430","folA",1,0,0,0.5,0,0,0,0.5,0,0
"431","folX",0,1,0,0,0,0,0,0,0,0
"432","fur",1,0,0,0.8,0,0,0,0,0.2,0
"433","leuL",1,0,0,0.6,0,0,0,0.4,0,0
