"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"305","ubiB",0,1,0,0,0,0,0,0,0,0,0
"306","yagE",0,1,0,0,0,0,0,0,0,0,0
"307","yajC",0,1,0,0,0,0,0,0,0,0,0
"308","ybaL",0,1,0,0,0,0,0,0,0,0,0
"309","ybfA",0,1,0,0,0,0,0,0,0,0,0
"310","ybjN",1,0,0,0,0,0,0,0,0,0,1
"311","ycfP",0,1,0,0,0,0,0,0,0,0,0
"312","ydgD",0,1,0,0,0,0,0,0,0,0,0
"313","ydiH",0,1,0,0,0,0,0,0,0,0,0
"314","yecD",0,1,0,0,0,0,0,0,0,0,0
"315","yejG",0,1,0,0,0,0,0,0,0,0,0
"316","yfcA",0,1,0,0,0,0,0,0,0,0,0
"317","yfcD",0,1,0,0,0,0,0,0,0,0,0
"318","yfcE",0,1,0,0,0,0,0,0,0,0,0
"319","yfjF",0,1,0,0,0,0,0,0,0,0,0
"320","ygbE",0,1,0,0,0,0,0,0,0,0,0
"321","yccA",1,0,0,0,0,0,0,0,0,0,1
"322","ydhF",0,1,0,0,0,0,0,0,0,0,0
"323","ygaH",0,1,0,0,0,0,0,0,0,0,0
"324","ygaZ",0,1,0,0,0,0,0,0,0,0,0
"325","ygdR",0,1,0,0,0,0,0,0,0,0,0
"326","yghG",0,1,0,0,0,0,0,0,0,0,0
"327","yghJ",0,1,0,0,0,0,0,0,0,0,0
"328","yghJ",0,1,0,0,0,0,0,0,0,0,0
"329","ygiB",1,0,0,0,0,0,0,0,0,0,1
"330","ygdQ",0,1,0,0,0,0,0,0,0,0,0
"331","ygiW",0,1,0,0,0,0,0,0,0,0,0
"332","yhcN",0,1,0,0,0,0,0,0,0,0,0
"333","yheO",0,1,0,0,0,0,0,0,0,0,0
"334","yieE",0,1,0,0,0,0,0,0,0,0,0
"335","yieF",0,1,0,0,0,0,0,0,0,0,0
"336","yigI",0,1,0,0,0,0,0,0,0,0,0
"337","yjeM",1,0,0,0,0,0,0,0,0,0,1
"338","yjjU",0,1,0,0,0,0,0,0,0,0,0
"339","ykgA",0,1,0,0,0,0,0,0,0,0,0
"340","ylaC",0,1,0,0,0,0,0,0,0,0,0
"341","yncD",0,1,0,0,0,0,0,0,0,0,0
"342","yodC",0,1,0,0,0,0,0,0,0,0,0
"343","yraQ",0,1,0,0,0,0,0,0,0,0,0
"344","yhaL",0,1,0,0,0,0,0,0,0,0,0
"345","yhiI",0,1,0,0,0,0,0,0,0,0,0
"346","yjiA",0,1,0,0,0,0,0,0,0,0,0
"347","yjiX",0,1,0,0,0,0,0,0,0,0,0
"348","ykfF",0,1,0,0,0,0,0,0,0,0,0
"349","ylbF",0,1,0,0,0,0,0,0,0,0,0
"350","yncE",1,0,0,1,0,0,0,0,0,0,0
"351","yqjA",1,0,0,0.25,0,0,0,0.25,0,0,0.5
"352","yqjC",0,1,0,0,0,0,0,0,0,0,0
"353","yqjD",0,1,0,0,0,0,0,0,0,0,0
"354","ytfJ",1,0,0,0,0,0,0,0,0,0,1
"355","recA",1,0,0,0,0,0,0,0,0,0,1
"356","rnk",0,1,0,0,0,0,0,0,0,0,0
"357","serU",0,1,0,0,0,0,0,0,0,0,0
"358","slt",1,0,0,1,0,0,0,0,0,0,0
"359","speA",1,0,0,0,0,0,0,0,0,0,1
"360","speD",0,1,0,0,0,0,0,0,0,0,0
"361","spy",1,0,0,0.5,0,0,0,0,0,0,0.5
"362","tatA",0,1,0,0,0,0,0,0,0,0,0
"363","tatB",0,1,0,0,0,0,0,0,0,0,0
"364","ubiE",0,1,0,0,0,0,0,0,0,0,0
"365","uvrY",1,0,0,0,0,0,0,0,0,0,1
"366","yciB",0,1,0,0,0,0,0,0,0,0,0
"367","yciC",0,1,0,0,0,0,0,0,0,0,0
"368","yciI",0,1,0,0,0,0,0,0,0,0,0
"369","yebE",1,0,0,0,0,0,0,0,0,0,1
"370","ygiC",1,0,0,0,0,0,0,0,0,0,1
"371","yihA",0,1,0,0,0,0,0,0,0,0,0
"372","yijD",0,1,0,0,0,0,0,0,0,0,0
"373","ynfD",0,1,0,0,0,0,0,0,0,0,0
"374","yqaE",1,0,0,0,1,0,0,0,0,0,0
"375","yqgB",0,1,0,0,0,0,0,0,0,0,0
"376","speG",1,0,0,0,0,0,0,0,0.5,0.5,0
"377","srlA",1,0,0,0,0,0.0833333333333333,0,0,0,0,0.916666666666667
"378","srlB",1,0,0,0,0,0.1,0,0,0,0,0.9
"379","srlD",1,0,0,0,0,0.1,0,0,0,0,0.9
"380","srlE",1,0,0,0,0,0.1,0,0,0,0,0.9
"381","srlR",1,0,0,0,0,0,0,0,0,0,1
"382","tap",0,1,0,0,0,0,0,0,0,0,0
"383","tar",0,1,0,0,0,0,0,0,0,0,0
"384","tsr",1,0,0,0,0,0,0,0,0,0,1
"385","tsx",1,0,0,0,0,0,0,0,0,0,1
"386","udp",1,0,0,0,0,0,0,0,0,0,1
"387","yafE",0,1,0,0,0,0,0,0,0,0,0
"388","yafY",0,1,0,0,0,0,0,0,0,0,0
"389","ybeX",0,1,0,0,0,0,0,0,0,0,0
"390","ybeY",0,1,0,0,0,0,0,0,0,0,0
"391","ybeZ",0,1,0,0,0,0,0,0,0,0,0
"392","ybiX",0,1,0,0,0,0,0,0,0,0,0
"393","ybjX",1,0,0,0,0,0,0,0,0,0,1
"394","ycgR",1,0,0,0,0,0,0,0,0,0,1
"395","ycjX",0,1,0,0,0,0,0,0,0,0,0
"396","yeaD",1,0,0,0,0,0,0,0,1,0,0
"397","yebW",0,1,0,0,0,0,0,0,0,0,0
"398","yecR",0,1,0,0,0,0,0,0,0,0,0
"399","yeeR",0,1,0,0,0,0,0,0,0,0,0
"400","yffB",1,0,0,0,0,0,0,0,0,0,1
"401","ygaZ",0,1,0,0,0,0,0,0,0,0,0
"402","ygiS",0,1,0,0,0,0,0,0,0,0,0
"403","yhhQ",0,1,0,0,0,0,0,0,0,0,0
"404","yiaD",0,1,0,0,0,0,0,0,0,0,0
"405","ykfB",0,1,0,0,0,0,0,0,0,0,0
"406","ymdA",0,1,0,0,0,0,0,0,0,0,0
"407","yneE",0,1,0,0,0,0,0,0,0,0,0
"408","ynfB",1,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"409","zntR",0,1,0,0,0,0,0,0,0,0,0
"410","allA",0,1,0,0,0,0,0,0,0,0,0
"411","cdh",0,1,0,0,0,0,0,0,0,0,0
"412","dnaA",1,0,0,0,0,0,0,0,0,0,1
"413","dnaN",1,0,0,0,0,0,0,0,0,0,1
"414","entE",1,0,0,0,0,0,0,0,0,0,1
"415","fecA",1,0,0,0,0,0,0,0,0,0,1
"416","fecB",1,0,0,0,0,0,0,0,0,0,1
"417","fecC",1,0,0,0,0,0,0,0,0,0,1
"418","fecD",1,0,0,0,0,0,0,0,0,0,1
"419","fecE",1,0,0,0,0,0,0,0,0,0,1
"420","fepA",1,0,0,0,0,0,0,0,0,0,1
"421","fhuC",1,0,0,0,0,0,0,0,0,0,1
"422","frwB",0,1,0,0,0,0,0,0,0,0,0
"423","ftsA",1,0,0,0,0,0,0.111111111111111,0,0.111111111111111,0,0.777777777777778
"424","ftsQ",1,0,0,0,0,0,0.125,0,0.125,0,0.75
"425","fucK",1,0,0,0,0,0,0,0,0,0,1
"426","galK",1,0,0,0,0,0,0,0,0,0,1
"427","gntT",1,0,0,0,0,0,0,0,0,0,1
"428","gpmM",1,0,0,1,0,0,0,0,0,0,0
"429","gpsA",1,0,0,0,0,0,0,0,0,0,1
"430","hrpB",0,1,0,0,0,0,0,0,0,0,0
"431","hslR",0,1,0,0,0,0,0,0,0,0,0
"432","hupA",1,0,0,0,0,0,0,0,0,0,1
"433","hybA",1,0,0,0,0,0,0,0,0,0,1
"434","idnT",1,0,0,0,0,0,0,0,0,0,1
"435","lnt",0,1,0,0,0,0,0,0,0,0,0
"436","lpxB",0,1,0,0,0,0,0,0,0,0,0
"437","malF",1,0,0,0,0,0,0,0,0,0,1
"438","malG",1,0,0,0,0,0,0,0,0,0,1
"439","malK",1,0,0,0,0,0,0,0,0,0,1
