"","V1","FBL","No_FBL","Inhibiting","Activating"
"512","ndh",0,1,0,0
"513","ndk",0,1,0,0
"514","nemA",0,1,0,0
"515","nuoG",0,1,0,0
"516","nuoH",0,1,0,0
"517","nuoI",0,1,0,0
"518","nuoJ",0,1,0,0
"519","nuoK",0,1,0,0
"520","nuoL",0,1,0,0
"521","ompR",0,1,0,0
"522","oppB",0,1,0,0
"523","oppC",0,1,0,0
"524","oppD",0,1,0,0
"525","oppF",0,1,0,0
"526","pal",0,1,0,0
"527","pdxH",0,1,0,0
"528","pepB",0,1,0,0
"529","pepN",0,1,0,0
"530","pepP",0,1,0,0
"531","pmrD",0,1,0,0
"532","psiF",0,1,0,0
"533","pstA",0,1,0,0
"534","pstB",0,1,0,0
"535","pstC",0,1,0,0
"536","pstS",0,1,0,0
"537","rne",0,1,0,0
"538","tdcB",0,1,0,0
"539","tdcC",0,1,0,0
"540","trkA",0,1,0,0
"541","ulaE",0,1,0,0
"542","ulaR",0,1,0,0
"543","pflA",0,1,0,0
"544","pgi",0,1,0,0
"545","pheM",0,1,0,0
"546","pncB",0,1,0,0
"547","ppsA",0,1,0,0
"548","ppx",0,1,0,0
"549","proC",0,1,0,0
"550","ptsG",0,1,0,0
"551","ptsH",0,1,0,0
"552","ptsI",0,1,0,0
"553","purU",0,1,0,0
"554","pyrG",0,1,0,0
"555","rcsB",1,0,0,1
"556","relA",0,1,0,0
"557","rfbC",0,1,0,0
"558","rfbD",0,1,0,0
"559","rfe",0,1,0,0
"560","rhlB",0,1,0,0
"561","uxaC",0,1,0,0
"562","yagF",0,1,0,0
"563","ybaV",0,1,0,0
"564","ybjG",0,1,0,0
"565","ycdZ",0,1,0,0
"566","ycjF",0,1,0,0
"567","ycjO",0,1,0,0
"568","yddB",0,1,0,0
"569","ydhF",0,1,0,0
"570","yghD",0,1,0,0
"571","rho",0,1,0,0
"572","ribA",0,1,0,0
"573","rmf",0,1,0,0
"574","rnb",0,1,0,0
"575","rnt",0,1,0,0
"576","rsd",0,1,0,0
"577","rsuA",0,1,0,0
"578","sdhC",0,1,0,0
"579","sdhD",0,1,0,0
"580","serC",0,1,0,0
"581","sfsB",0,1,0,0
"582","sppA",0,1,0,0
"583","sra",0,1,0,0
"584","surA",0,1,0,0
"585","tatE",0,1,0,0
"586","tehB",0,1,0,0
"587","tolB",0,1,0,0
"588","tolQ",0,1,0,0
"589","tpiA",0,1,0,0
"590","yhdT",0,1,0,0
"591","yhfS",0,1,0,0
"592","yhfU",0,1,0,0
"593","yhgE",0,1,0,0
"594","yicG",0,1,0,0
"595","yihF",0,1,0,0
"596","yjaB",0,1,0,0
"597","yjeJ",0,1,0,0
"598","yjfL",0,1,0,0
"599","yjgM",0,1,0,0
"600","ubiB",0,1,0,0
"601","ubiH",0,1,0,0
"602","xerC",0,1,0,0
"603","yadG",0,1,0,0
"604","yadH",0,1,0,0
"605","yaiA",0,1,0,0
"606","ybgC",0,1,0,0
"607","ybhB",0,1,0,0
"608","ycaR",0,1,0,0
"609","ycdX",0,1,0,0
"610","ycdY",0,1,0,0
"611","ychH",0,1,0,0
"612","ychJ",0,1,0,0
"613","ydfG",0,1,0,0
"614","ydiH",0,1,0,0
"615","yeaC",0,1,0,0
"616","yeaK",0,1,0,0
"617","yeeN",0,1,0,0
"618","yjhD",0,1,0,0
"619","ykgF",0,1,0,0
"620","ymdB",0,1,0,0
"621","yoaE",0,1,0,0
"622","yohK",0,1,0,0
"623","yqfA",0,1,0,0
"624","yrfG",0,1,0,0
"625","yeeZ",0,1,0,0
"626","yehS",0,1,0,0
"627","yeiG",0,1,0,0
"628","yfaE",0,1,0,0
"629","yfcZ",0,1,0,0
"630","yfdG",0,1,0,0
"631","yfdI",0,1,0,0
"632","yfjW",0,1,0,0
"633","ygdI",0,1,0,0
"634","yhjR",0,1,0,0
"635","yieP",0,1,0,0
"636","yjbQ",0,1,0,0
