"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"227","glpA",1,0,0.25,0.176470588235294,0.0147058823529412,0.279411764705882,0.0588235294117647,0,0.117647058823529,0.0882352941176471,0,0.0147058823529412
"228","infA",0,1,0,0,0,0,0,0,0,0,0,0
"229","ycaO",0,1,0,0,0,0,0,0,0,0,0,0
"230","galS",1,0,0,1,0,0,0,0,0,0,0,0
"231","purR",1,0,0,0,0.5,0,0,0,0,0,0.5,0
"232","ascF",1,0,0,0.428571428571429,0.428571428571429,0,0,0,0,0,0.142857142857143,0
"233","wecC",0,1,0,0,0,0,0,0,0,0,0,0
"234","pheS",0,1,0,0,0,0,0,0,0,0,0,0
"235","rnb",0,1,0,0,0,0,0,0,0,0,0,0
"236","potB",0,1,0,0,0,0,0,0,0,0,0,0
"237","coaD",0,1,0,0,0,0,0,0,0,0,0,0
"238","rplI",1,0,0,0.5,0.5,0,0,0,0,0,0,0
"239","rpsP",1,0,0,0,1,0,0,0,0,0,0,0
"240","prpE",1,0,0.75,0,0,0,0.25,0,0,0,0,0
"241","guaA",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"242","rpsM",1,0,0,0,0.5,0,0.5,0,0,0,0,0
"243","mrcA",0,1,0,0,0,0,0,0,0,0,0,0
"244","greA",1,0,0,0,0,0,0,0,1,0,0,0
"245","murA",0,1,0,0,0,0,0,0,0,0,0,0
"246","recG",1,0,0.5,0.5,0,0,0,0,0,0,0,0
"247","secD",0,1,0,0,0,0,0,0,0,0,0,0
"248","fecD",1,0,0.375,0.5,0,0,0,0,0.125,0,0,0
"249","rplC",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"250","parE",0,1,0,0,0,0,0,0,0,0,0,0
"251","purL",0,1,0,0,0,0,0,0,0,0,0,0
"252","rplR",0,1,0,0,0,0,0,0,0,0,0,0
"253","ygiQ",0,1,0,0,0,0,0,0,0,0,0,0
"254","tolQ",0,1,0,0,0,0,0,0,0,0,0,0
"255","rpsC",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"256","fhuB",0,1,0,0,0,0,0,0,0,0,0,0
"257","malM",1,0,1,0,0,0,0,0,0,0,0,0
"258","ybfE",1,0,0,1,0,0,0,0,0,0,0,0
"259","fecC",1,0,0.375,0.5,0,0,0,0,0.125,0,0,0
"260","cysM",1,0,0,1,0,0,0,0,0,0,0,0
"261","rluC",0,1,0,0,0,0,0,0,0,0,0,0
"262","proB",0,1,0,0,0,0,0,0,0,0,0,0
"263","mhpB",1,0,1,0,0,0,0,0,0,0,0,0
"264","spoT",0,1,0,0,0,0,0,0,0,0,0,0
"265","rpsB",0,1,0,0,0,0,0,0,0,0,0,0
"266","narG",1,0,0.2,0.25,0,0.15,0.15,0,0.15,0,0.1,0
"267","lnt",0,1,0,0,0,0,0,0,0,0,0,0
"268","fhuD",0,1,0,0,0,0,0,0,0,0,0,0
