"","V1","FBL_number","No_FBL","FBL"
"686","yedS",0,0,1
"687","wbbL",0,0,1
"688","yjgX",0,0,1
"689","yehK",0,0,1
"690","ymjB",0,0,1
"691","ydgU",0,0,1
"692","yqcG",0,0,1
"693","yqeL",0,0,1
"694","yqfG",0,0,1
"695","yobI",0,0,1
"696","yoeI",0,0,1
"697","yaaJ",0,0,1
"698","yadL",0,0,1
"699","insB3",0,0,1
"700","gfcC",0,0,1
"701","yahI",0,0,1
"702","insB4",0,0,1
"703","yfhR",0,0,1
"704","ylbH",0,0,1
"705","ybbP",0,0,1
"706","yncI",0,0,1
"707","ybcO",0,0,1
"708","ninE",0,0,1
"709","ybcL",0,0,1
"710","tfaD",0,0,1
"711","tfaX",0,0,1
"712","ybcH",0,0,1
"713","insD1",0,0,1
"714","yceM",0,0,1
"715","ygcG",0,0,1
"716","yaiP",0,0,1
"717","abrB",0,0,1
"718","ymfD",0,0,1
"719","ybbO",0,0,1
"720","ybhJ",0,0,1
"721","ybhN",0,0,1
"722","yfaY",0,0,1
"723","yegX",0,0,1
"724","ycdU",0,0,1
"725","beeE",0,0,1
"726","xisE",0,0,1
"727","ymfQ",0,0,1
"728","ymfN",0,0,1
"729","ymfI",0,0,1
"730","ymfM",0,0,1
"731","ymfT",0,0,1
"732","stfE",0,0,1
"733","yddL",0,0,1
"734","yjiM",0,0,1
"735","insB5",0,0,1
"736","ydaG",0,0,1
"737","digH",0,0,1
"738","ydcR",0,0,1
"739","yqcC",0,0,1
"740","essQ",0,0,1
"741","rzpQ",0,0,1
"742","ydfU",0,0,1
"743","ydjO",0,0,1
"744","ydjY",0,0,1
"745","ynjB",0,0,1
"746","ynjC",0,0,1
"747","yeaL",0,0,1
"748","ydiQ",0,0,1
"749","asnW",0,0,1
"750","yeeJ",0,0,1
"751","yeeP",0,0,1
"752","yadE",0,0,1
"753","yeeA",0,0,1
"754","yfaT",0,0,1
"755","ecpE",0,0,1
"756","yeiI",0,0,1
"757","yafU",0,0,1
"758","yehQ",0,0,1
"759","psuT",0,0,1
"760","yfaH",0,0,1
"761","ymfE",0,0,1
"762","rpnE",0,0,1
"763","yfcR",0,0,1
"764","ygeF",0,0,1
"765","ypfG",0,0,1
"766","yqhH",0,0,1
"767","yfdT",0,0,1
"768","yjhP",0,0,1
"769","yfeZ",0,0,1
"770","yffM",0,0,1
"771","yffL",0,0,1
"772","yphB",0,0,1
"773","yphF",0,0,1
"774","yfiE",0,0,1
"775","ybfL",0,0,1
"776","yfjP",0,0,1
"777","yfjY",0,0,1
"778","ypjF",0,0,1
"779","yegI",0,0,1
"780","ybdJ",0,0,1
"781","pphC",0,0,1
"782","yfjR",0,0,1
"783","yddK",0,0,1
"784","ygeI",0,0,1
"785","ygeQ",0,0,1
"786","yqeA",0,0,1
"787","ygfX",0,0,1
"788","yqfB",0,0,1
"789","xisR",0,0,1
"790","ygfI",0,0,1
"791","yggC",0,0,1
"792","yggU",0,0,1
"793","yggR",0,0,1
"794","ypfH",0,0,1
"795","yraK",0,0,1
"796","yhbQ",0,0,1
"797","insB2",0,0,1
"798","yghO",0,0,1
"799","yghQ",0,0,1
"800","insB6",0,0,1
"801","yhhN",0,0,1
"802","yibG",0,0,1
"803","aspT",0,0,1
"804","rhoL",0,0,1
"805","yiiG",0,0,1
"806","yjbM",0,0,1
"807","yjbL",0,0,1
"808","yjfM",0,0,1
"809","ytfI",0,0,1
"810","yjgZ",0,0,1
"811","yjhU",0,0,1
"812","yjiH",0,0,1
"813","yjiK",0,0,1
"814","yphE",0,0,1
"815","ygfT",0,0,1
"816","yphD",0,0,1
"817","yagJ",0,0,1
"818","mdtQ",0,0,1
"819","ylcG",0,0,1
"820","ybfQ",0,0,1
"821","insA4",0,0,1
"822","ynfO",0,0,1
"823","yniD",0,0,1
"824","yoeF",0,0,1
"825","ypjJ",0,0,1
"826","ysaB",0,0,1
"827","yghX",0,0,1
"828","ygcU",0,0,1
"829","ypjK",0,0,1
"830","glvB",0,0,1
"831","insA9",0,0,1
"832","insB7",0,0,1
"833","lomR",0,0,1
"834","ykfM",0,0,1
"835","ylcI",0,0,1
"836","yciY",0,0,1
"837","ylcH",0,0,1
"838","ymgI",0,0,1
"839","ymgJ",0,0,1
"840","ytcA",0,0,1
"841","pawZ",0,0,1
"842","yrdE",0,0,1
"843","yibS",0,0,1
"844","argL",0,0,1
"845","baxL",0,0,1
"846","ynbG",0,0,1
"847","ymiB",0,0,1
"848","yshB",0,0,1
"849","aaaE",0,0,1
"850","aspU",0,0,1
"851","yafS",0,0,1
"852","ykfJ",0,0,1
"853","insA3",0,0,1
"854","yagM",0,0,1
"855","yahL",0,0,1
"856","yaiL",0,0,1
"857","renD",0,0,1
"858","yfjU",0,0,1
"859","ybcY",0,0,1
"860","insL2",0,0,1
"861","ybfP",0,0,1
"862","yagN",0,0,1
"863","yafZ",0,0,1
"864","yahG",0,0,1
"865","yqgD",0,0,1
"866","ybjT",0,0,1
"867","ybjD",0,0,1
"868","yceQ",0,0,1
"869","ydiR",0,0,1
"870","jayE",0,0,1
"871","ymgG",0,0,1
"872","insA5",0,0,1
"873","yagL",0,0,1
"874","yciQ",0,0,1
"875","yfgO",0,0,1
"876","ydaF",0,0,1
"877","ynbE",0,0,1
"878","yncH",0,0,1
"879","ydeS",0,0,1
"880","ydeR",0,0,1
"881","yneL",0,0,1
"882","yfjH",0,0,1
"883","ybfO",0,0,1
"884","insH2",0,0,1
"885","yneG",0,0,1
"886","ydiS",0,0,1
"887","ydiT",0,0,1
"888","ynjA",0,0,1
"889","ydjH",0,0,1
"890","ydjI",0,0,1
"891","ydjL",0,0,1
"892","yeaX",0,0,1
"893","yecJ",0,0,1
"894","ygcQ",0,0,1
"895","intG",0,0,1
"896","yeeT",0,0,1
"897","yeeS",0,0,1
"898","yeeW",0,0,1
"899","yegU",0,0,1
"900","yehI",0,0,1
"901","yejL",0,0,1
"902","yfbM",0,0,1
"903","yfbP",0,0,1
"904","yfdF",0,0,1
"905","yfeO",0,0,1
"906","insL3",0,0,1
"907","ypeA",0,0,1
"908","yffQ",0,0,1
"909","yffN",0,0,1
"910","yffR",0,0,1
"911","yphG",0,0,1
"912","yphH",0,0,1
"913","tapT",0,0,1
"914","yfjM",0,0,1
"915","yfjJ",0,0,1
"916","yfjX",0,0,1
"917","yfjQ",0,0,1
"918","ygbL",0,0,1
"919","yahF",0,0,1
"920","ynaA",0,0,1
"921","yfjV",0,0,1
"922","ygjJ",0,0,1
"923","ygjP",0,0,1
"924","yraN",0,0,1
"925","yraR",0,0,1
"926","yhdU",0,0,1
"927","yhcG",0,0,1
"928","yheU",0,0,1
"929","yhfT",0,0,1
"930","yhfX",0,0,1
"931","yhfW",0,0,1
"932","exoD",0,0,1
"933","insA6",0,0,1
"934","yhiS",0,0,1
"935","fabY",0,0,1
"936","yzcX",0,0,1
"937","yjeN",0,0,1
"938","yjfK",0,0,1
"939","ytfA",0,0,1
"940","ydfV",0,0,1
"941","insA7",0,0,1
"942","arpB",0,0,1
"943","yafT",0,0,1
"944","fryB",0,0,1
"945","yfdL",0,0,1
"946","yafF",0,0,1
"947","yobH",0,0,1
"948","ypaA",0,0,1
"949","yheV",0,0,1
"950","yrhC",0,0,1
"951","insM",0,0,1
"952","iroK",0,0,1
"953","ygeN",0,0,1
"954","yabR",0,0,1
"955","yacM",0,0,1
"956","yadW",0,0,1
"957","insB9",0,0,1
"958","ykgV",0,0,1
"959","yahV",0,0,1
"960","ykiC",0,0,1
"961","ykiD",0,0,1
"962","ylcJ",0,0,1
"963","yldA",0,0,1
"964","ybgU",0,0,1
"965","ymcF",0,0,1
"966","ymdG",0,0,1
"967","ymgK",0,0,1
"968","ymgL",0,0,1
"969","ymgM",0,0,1
"970","insH21",0,0,1
"971","ynaL",0,0,1
"972","ynaM",0,0,1
"973","yncO",0,0,1
"974","yddY",0,0,1
"975","yneP",0,0,1
"976","ynfT",0,0,1
"977","ynfR",0,0,1
"978","ynfQ",0,0,1
"979","ynfS",0,0,1
"980","yoaL",0,0,1
"981","yecU",0,0,1
"982","yqfH",0,0,1
"983","yqfI",0,0,1
"984","yqhI",0,0,1
"985","yqiD",0,0,1
"986","ysdD",0,0,1
"987","ytiA",0,0,1
"988","yncK",0,0,1
"989","ynfP",0,0,1
"990","yaiX",0,0,1
"991","ypaB",0,0,1
"992","yojO",0,0,1
"993","ygdT",0,0,1
"994","yrhD",0,0,1
"995","yibV",0,0,1
"996","yjbS",0,0,1
"997","ykfN",0,0,1
"998","ykfL",0,0,1
"999","ykfK",0,0,1
"1000","ykgP",0,0,1
"1001","ykgQ",0,0,1
"1002","ylbI",0,0,1
"1003","xisD",0,0,1
"1004","aaaD",0,0,1
"1005","yeeH",0,0,1
"1006","yoeG",0,0,1
"1007","yoeH",0,0,1
"1008","yoeD",0,0,1
"1009","ypjI",0,0,1
"1010","psaA",0,0,1
"1011","ysaC",0,0,1
"1012","ysaD",0,0,1
"1013","yibW",0,0,1
"1014","yibU",0,0,1
"1015","yicT",0,0,1
"1016","yjdQ",0,0,1
"1017","yjhZ",0,0,1
"1018","yadX",0,0,1
"1019","ytiB",0,0,1
"1020","ybgV",0,0,1
"1021","ybiE",0,0,1
"1022","yljB",0,0,1
"1023","ychT",0,0,1
"1024","ymiD",0,0,1
"1025","ynaN",0,0,1
"1026","yncP",0,0,1
"1027","mgtT",0,0,1
