"","V1","Loop_number","No_loop","Loop"
"737","ydgC",0,0,1
"738","pcm",0,0,1
"739","ymgD",0,0,1
"740","argR",1,0,1
"741","ychN",0,0,1
"742","caiF",6,0,1
"743","narQ",0,0,1
"744","yibA",0,0,1
"745","yahB",0,0,1
"746","mtlA",4,0,1
"747","ygjR",0,0,1
"748","yfjD",0,0,1
"749","dgkA",0,0,1
"750","ybjQ",0,0,1
"751","dctA",4,0,1
"752","soxR",4,0,1
"753","ftsX",0,0,1
"754","glyS",0,0,1
"755","yddM",0,0,1
"756","def",0,0,1
"757","ydcH",0,0,1
"758","yhfG",0,0,1
"759","xylA",3,0,1
"760","nanT",5,0,1
"761","sbp",0,0,1
"762","ytfH",0,0,1
"763","sixA",2,0,1
"764","yeiQ",0,0,1
"765","mgtA",0,0,1
"766","ugpQ",1,0,1
"767","aceA",6,0,1
"768","ydcT",1,0,1
"769","rpoN",3,0,1
"770","arcB",0,0,1
"771","dppB",8,0,1
"772","aceB",9,0,1
"773","ugd",0,0,1
"774","dnaX",0,0,1
"775","ftsI",5,0,1
"776","iscS",2,0,1
"777","dppA",11,0,1
"778","glgP",5,0,1
"779","yfbV",0,0,1
"780","yfeY",0,0,1
"781","ygiN",0,0,1
"782","yibH",0,0,1
"783","trxB",2,0,1
"784","ypdC",0,0,1
"785","araG",5,0,1
"786","nanA",3,0,1
"787","yggN",0,0,1
"788","yciW",1,0,1
"789","csiE",4,0,1
"790","yeeY",0,0,1
"791","nagE",1,0,1
"792","yfcH",0,0,1
"793","rob",1,0,1
"794","yaiO",0,0,1
"795","gltS",0,0,1
"796","nlpC",0,0,1
"797","ytfB",0,0,1
"798","xylB",3,0,1
"799","fic",0,0,1
"800","ybhL",1,0,1
"801","hns",6,0,1
"802","yihI",0,0,1
"803","rhaD",4,0,1
"804","yhjB",0,0,1
"805","ybiI",0,0,1
"806","yniB",0,0,1
"807","yqiB",0,0,1
"808","mtlD",4,0,1
"809","ubiF",0,0,1
"810","hycI",7,0,1
"811","folA",4,0,1
"812","folX",0,0,1
"813","yhhT",0,0,1
"814","ybdK",0,0,1
"815","kdpE",0,0,1
"816","rhsA",0,0,1
"817","fabB",1,0,1
"818","fur",5,0,1
"819","ycgN",0,0,1
"820","yiiM",0,0,1
"821","leuL",5,0,1
"822","ydiO",0,0,1
"823","cpdA",0,0,1
"824","yiiR",0,0,1
"825","yeeO",0,0,1
"826","ygbK",2,0,1
"827","ribC",0,0,1
"828","ribB",0,0,1
"829","ytfQ",0,0,1
"830","yghB",0,0,1
"831","yifL",0,0,1
"832","garK",4,0,1
"833","yqgA",0,0,1
"834","yfgI",0,0,1
"835","ftsL",5,0,1
"836","yejA",0,0,1
"837","talB",0,0,1
"838","ubiA",14,0,1
"839","ydcA",0,0,1
"840","ydcK",0,0,1
"841","lrhA",0,0,1
"842","rhsB",0,0,1
"843","thrL",3,0,1
"844","treF",0,0,1
"845","yjgA",0,0,1
"846","yfhM",0,0,1
"847","mioC",3,0,1
"848","rpmE",0,0,1
"849","lpp",0,0,1
"850","ubiG",1,0,1
"851","yiaF",0,0,1
"852","slyA",0,0,1
"853","yfdE",2,0,1
"854","ycgI",0,0,1
"855","galR",1,0,1
"856","ycbJ",0,0,1
"857","ytfR",0,0,1
"858","gor",3,0,1
"859","ygjH",0,0,1
"860","clpP",3,0,1
"861","yeaY",0,0,1
"862","yoaC",0,0,1
"863","yibI",0,0,1
"864","nagB",1,0,1
"865","yafQ",7,0,1
"866","rna",0,0,1
"867","cmtA",0,0,1
"868","yjiJ",0,0,1
"869","kdpD",0,0,1
"870","ycaL",0,0,1
"871","helD",0,0,1
"872","yaiT",0,0,1
"873","rtcB",3,0,1
"874","setA",6,0,1
"875","uidC",1,0,1
"876","psd",1,0,1
"877","uidB",1,0,1
"878","yqhC",0,0,1
"879","yraJ",0,0,1
"880","hemL",0,0,1
"881","yecH",0,0,1
"882","eutB",0,0,1
"883","ycaI",0,0,1
"884","eutC",0,0,1
"885","yphA",0,0,1
"886","ybdD",0,0,1
"887","lacA",3,0,1
"888","ygfB",0,0,1
"889","tam",2,0,1
"890","ydcY",0,0,1
"891","ispZ",0,0,1
"892","yihS",1,0,1
"893","yidQ",1,0,1
"894","yajD",0,0,1
"895","ada",1,0,1
"896","uxaA",4,0,1
"897","greB",0,0,1
"898","yafC",0,0,1
"899","ptsN",3,0,1
"900","ilvL",1,0,1
"901","phoR",2,0,1
"902","rbn",1,0,1
"903","ugpE",1,0,1
"904","uvrA",3,0,1
"905","pgpA",2,0,1
"906","yabI",0,0,1
"907","argG",2,0,1
"908","acpP",2,0,1
"909","frr",0,0,1
"910","crp",1,0,1
"911","fldB",1,0,1
"912","feaR",3,0,1
"913","fucU",4,0,1
"914","intB",0,0,1
"915","ydcS",0,0,1
"916","glk",1,0,1
"917","slyD",0,0,1
"918","yhhW",0,0,1
"919","garP",4,0,1
"920","norV",1,0,1
"921","yfeS",0,0,1
"922","csrA",4,0,1
"923","hfq",3,0,1
"924","cfa",5,0,1
"925","yeaQ",0,0,1
"926","hdeD",20,0,1
"927","osmY",20,0,1
"928","cbpA",4,0,1
"929","yahO",0,0,1
"930","yccJ",1,0,1
"931","asr",3,0,1
"932","ydiZ",0,0,1
"933","yebV",0,0,1
"934","wrbA",1,0,1
"935","ycaC",1,0,1
"936","yiaG",0,0,1
"937","dps",14,0,1
"938","aceK",6,0,1
"939","acnA",17,0,1
"940","aroA",1,0,1
"941","aroH",1,0,1
"942","aroP",4,0,1
"943","dadA",0,0,1
"944","atpH",1,0,1
"945","bax",0,0,1
"946","bioB",0,0,1
"947","cirA",8,0,1
"948","cpxA",6,0,1
"949","artM",2,0,1
"950","asnA",7,0,1
"951","aspA",8,0,1
"952","atpA",1,0,1
"953","atpB",1,0,1
"954","atpC",0,0,1
"955","atpE",0,0,1
"956","atpF",0,0,1
