"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"185","ilvI",1,0,0,0,0,0,0,0,0,0,1
"186","glpK",1,0,0,0,0,0,0,0,0,0,1
"187","eda",1,0,0,0,0,0,0,0,0,0,1
"188","pheP",0,1,0,0,0,0,0,0,0,0,0
"189","cysK",1,0,0,0,0,0,0,0,0,0,1
"190","napF",1,0,0,0,0,0,0,0,0.125,0,0.875
"191","ynaJ",0,1,0,0,0,0,0,0,0,0,0
"192","torA",1,0,0,0,0,0,0,0,0,0,1
"193","nanE",1,0,0,0,0,0,0,0,0,0,1
"194","thiD",0,1,0,0,0,0,0,0,0,0,0
"195","ydhP",0,1,0,0,0,0,0,0,0,0,0
"196","galP",1,0,0,0,0,0,0,0,0,0,1
"197","yojI",1,0,0,0,0,0,0,0,0,0,1
"198","osmC",1,0,0,0,0,0,0,0,0,0,1
"199","cadA",1,0,0,0,0,0,0,0,0,0,1
"200","yhbS",0,1,0,0,0,0,0,0,0,0,0
"201","msrB",1,0,0,0,0,0,0,0,0,0,1
"202","ung",0,1,0,0,0,0,0,0,0,0,0
"203","zraR",0,1,0,0,0,0,0,0,0,0,0
"204","trmH",1,0,0,0,0,0,0,0,0,0,1
"205","ybaN",0,1,0,0,0,0,0,0,0,0,0
"206","trpA",1,0,0,0,0,0,0,0,0,0,1
"207","brnQ",0,1,0,0,0,0,0,0,0,0,0
"208","envC",0,1,0,0,0,0,0,0,0,0,0
"209","galE",1,0,0,0,0,0,0,0,0,0,1
"210","fumC",1,0,0,0,0,0,0,0,0,0,1
"211","bfd",0,1,0,0,0,0,0,0,0,0,0
"212","yjjW",0,1,0,0,0,0,0,0,0,0,0
"213","crr",1,0,0,0,0,0,0,0,0,0,1
"214","xseB",0,1,0,0,0,0,0,0,0,0,0
"215","wzzE",0,1,0,0,0,0,0,0,0,0,0
"216","moaB",0,1,0,0,0,0,0,0,0,0,0
"217","slyB",0,1,0,0,0,0,0,0,0,0,0
"218","fhuE",0,1,0,0,0,0,0,0,0,0,0
"219","hmp",1,0,0,0,0,0,0,0,0,0,1
"220","yfeX",0,1,0,0,0,0,0,0,0,0,0
"221","gltK",1,0,0,0,0,0,0,0,0,0,1
"222","yedE",0,1,0,0,0,0,0,0,0,0,0
"223","putP",1,0,0,0,0,0,0,0,0,0,1
"224","speC",1,0,0,0,0,0,0,0,0,0,1
"225","menC",0,1,0,0,0,0,0,0,0,0,0
"226","moaE",0,1,0,0,0,0,0,0,0,0,0
"227","exuT",1,0,0,0,0,0,0,0,0,0,1
"228","ybjM",0,1,0,0,0,0,0,0,0,0,0
"229","iscU",1,0,0,0,0,0,0,0,0,0,1
"230","ilvC",1,0,0,0,0,0,0,0,0,0,1
"231","ybiT",0,1,0,0,0,0,0,0,0,0,0
"232","phoA",1,0,0,0,0,0,0,0,0,0,1
"233","yceH",0,1,0,0,0,0,0,0,0,0,0
"234","ulaD",1,0,0,0,0,0,0.5,0,0,0,0.5
"235","napA",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"236","cusR",1,0,0,0,0,0,0,0,0,0,1
"237","ispA",0,1,0,0,0,0,0,0,0,0,0
"238","pldB",0,1,0,0,0,0,0,0,0,0,0
"239","yceB",0,1,0,0,0,0,0,0,0,0,0
"240","yjaH",0,1,0,0,0,0,0,0,0,0,0
"241","dsbA",1,0,0,0,0,0,0,0,0,0,1
"242","kefG",0,1,0,0,0,0,0,0,0,0,0
"243","adhE",1,0,0,0,0,0,0,0,0,0,1
"244","fepG",1,0,0,0,0,0,0,0,0,0,1
"245","nrdR",0,1,0,0,0,0,0,0,0,0,0
"246","pqqL",0,1,0,0,0,0,0,0,0,0,0
"247","ftsZ",1,0,0,0,0,0,0,0,0,0,1
"248","glnH",1,0,0,0,0,0,0,0.5,0,0,0.5
"249","ypeC",0,1,0,0,0,0,0,0,0,0,0
"250","yqhD",0,1,0,0,0,0,0,0,0,0,0
"251","glnD",1,0,0,0,0,0,0,0,0,0,1
"252","thiM",0,1,0,0,0,0,0,0,0,0,0
"253","aroG",1,0,0,0,0,0,0,0,0,0,1
