"","V1","FBL","No_FBL","Inhibiting","Activating"
"696","sufC",0,1,0,0
"697","sufD",0,1,0,0
"698","sufE",0,1,0,0
"699","sufS",0,1,0,0
"700","mhpA",0,1,0,0
"701","fdhF",0,1,0,0
"702","fdnG",0,1,0,0
"703","fdnH",0,1,0,0
"704","fdnI",0,1,0,0
"705","hcp",0,1,0,0
"706","hcr",0,1,0,0
"707","nirB",0,1,0,0
"708","nirD",0,1,0,0
"709","nrfA",0,1,0,0
"710","nrfB",0,1,0,0
"711","nrfC",0,1,0,0
"712","nrfD",0,1,0,0
"713","ytfE",0,1,0,0
"714","amtB",0,1,0,0
"715","argT",0,1,0,0
"716","ddpA",0,1,0,0
"717","ddpB",0,1,0,0
"718","ddpD",0,1,0,0
"719","ddpX",0,1,0,0
"720","glnA",0,1,0,0
"721","glnG",1,0,0,1
"722","glnK",0,1,0,0
"723","glnL",0,1,0,0
"724","hisM",0,1,0,0
"725","hisP",0,1,0,0
"726","patA",0,1,0,0
"727","potF",0,1,0,0
"728","potG",0,1,0,0
"729","potH",0,1,0,0
"730","potI",0,1,0,0
"731","yhdW",0,1,0,0
"732","pdeL",0,1,0,0
"733","prpE",0,1,0,0
"734","appA",0,1,0,0
"735","appB",0,1,0,0
"736","betA",0,1,0,0
"737","betB",0,1,0,0
"738","betI",0,1,0,0
"739","caiD",0,1,0,0
"740","lldR",0,1,0,0
"741","fumB",0,1,0,0
"742","hybE",0,1,0,0
"743","hybB",0,1,0,0
"744","dmsA",0,1,0,0
"745","hybF",0,1,0,0
"746","hybO",0,1,0,0
"747","tdcE",0,1,0,0
"748","clpA",0,1,0,0
"749","entF",0,1,0,0
"750","tdcD",0,1,0,0
"751","lysU",0,1,0,0
"752","ynfG",0,1,0,0
"753","pepE",0,1,0,0
"754","ansB",0,1,0,0
"755","ydcZ",0,1,0,0
"756","hypA",0,1,0,0
"757","tdcF",0,1,0,0
"758","phoH",0,1,0,0
"759","hybD",0,1,0,0
"760","ynfF",0,1,0,0
"761","tonB",0,1,0,0
"762","hybC",0,1,0,0
"763","hypB",0,1,0,0
"764","dcuB",0,1,0,0
"765","frdB",0,1,0,0
"766","hypC",0,1,0,0
"767","rsxE",0,1,0,0
"768","ybdZ",0,1,0,0
"769","leuA",0,1,0,0
"770","clpS",0,1,0,0
"771","icd",0,1,0,0
"772","sodA",0,1,0,0
"773","fis",1,0,1,0
"774","tdcA",0,1,0,0
"775","frdD",0,1,0,0
"776","hypD",0,1,0,0
"777","ydhV",0,1,0,0
"778","dmsB",0,1,0,0
"779","entB",0,1,0,0
"780","fhuF",0,1,0,0
"781","dcuA",0,1,0,0
"782","pgl",0,1,0,0
"783","dmsD",0,1,0,0
"784","ydjA",0,1,0,0
"785","fepB",0,1,0,0
"786","yhbW",0,1,0,0
"787","mdtI",0,1,0,0
"788","fsr",0,1,0,0
"789","kbl",0,1,0,0
"790","kefB",0,1,0,0
"791","serA",0,1,0,0
"792","glpQ",0,1,0,0
"793","metJ",0,1,0,0
"794","yceI",0,1,0,0
"795","smg",0,1,0,0
"796","ulaC",0,1,0,0
"797","ynfE",0,1,0,0
"798","ompW",0,1,0,0
"799","efeO",0,1,0,0
"800","yqiA",0,1,0,0
"801","gltI",0,1,0,0
"802","dcuC",0,1,0,0
"803","yfeC",0,1,0,0
"804","leuD",0,1,0,0
"805","ycgM",0,1,0,0
"806","hybG",0,1,0,0
"807","fes",0,1,0,0
"808","entA",0,1,0,0
"809","yoaB",0,1,0,0
"810","yjjI",0,1,0,0
"811","ogt",0,1,0,0
"812","mntH",0,1,0,0
"813","leuC",0,1,0,0
"814","shiA",0,1,0,0
"815","leuB",0,1,0,0
"816","gcvR",0,1,0,0
"817","entC",0,1,0,0
"818","ravA",0,1,0,0
"819","selA",0,1,0,0
"820","efeU",0,1,0,0
"821","ispU",0,1,0,0
"822","msrA",0,1,0,0
"823","fadE",0,1,0,0
"824","ugpC",0,1,0,0
"825","manZ",0,1,0,0
"826","ccmD",0,1,0,0
"827","ydhY",0,1,0,0
"828","yhjE",0,1,0,0
"829","fepC",0,1,0,0
"830","mgsA",0,1,0,0
"831","sucC",0,1,0,0
"832","hypE",0,1,0,0
"833","csrD",0,1,0,0
"834","pykA",0,1,0,0
"835","yaeP",0,1,0,0
"836","trmA",0,1,0,0
"837","pepD",0,1,0,0
"838","yciH",0,1,0,0
"839","galT",0,1,0,0
"840","yhdH",0,1,0,0
"841","ynfH",0,1,0,0
"842","sodB",0,1,0,0
"843","sstT",0,1,0,0
"844","nadB",0,1,0,0
"845","ybjI",0,1,0,0
"846","purT",0,1,0,0
"847","fdoI",0,1,0,0
"848","exbB",0,1,0,0
"849","yebZ",0,1,0,0
"850","pnuC",0,1,0,0
"851","rutE",0,1,0,0
"852","yeiE",0,1,0,0
"853","moeA",0,1,0,0
"854","melA",0,1,0,0
"855","ilvE",0,1,0,0
"856","yddA",0,1,0,0
"857","cysE",0,1,0,0
"858","sanA",0,1,0,0
"859","manY",0,1,0,0
"860","hisQ",0,1,0,0
"861","dfp",0,1,0,0
"862","ydiP",0,1,0,0
"863","ycjY",0,1,0,0
"864","tdh",0,1,0,0
"865","ybjJ",0,1,0,0
"866","yhfK",0,1,0,0
"867","yibQ",0,1,0,0
"868","ccmF",0,1,0,0
"869","nth",0,1,0,0
"870","recC",0,1,0,0
"871","aegA",0,1,0,0
"872","rpsQ",0,1,0,0
"873","fepD",0,1,0,0
"874","yfeD",0,1,0,0
"875","aqpZ",0,1,0,0
"876","gltL",0,1,0,0
"877","cycA",0,1,0,0
"878","aroF",0,1,0,0
"879","gcvP",0,1,0,0
"880","yebY",0,1,0,0
"881","mutM",0,1,0,0
"882","mdtC",0,1,0,0
"883","exbD",0,1,0,0
"884","ydhW",0,1,0,0
"885","crl",0,1,0,0
"886","znuB",0,1,0,0
"887","torD",0,1,0,0
"888","gltP",0,1,0,0
"889","agaV",0,1,0,0
"890","sucB",0,1,0,0
"891","yafD",0,1,0,0
"892","ilvM",0,1,0,0
"893","cdsA",0,1,0,0
"894","pyrD",0,1,0,0
"895","glgC",0,1,0,0
"896","amn",0,1,0,0
"897","uhpB",0,1,0,0
"898","ybhG",0,1,0,0
"899","pck",0,1,0,0
"900","rimJ",0,1,0,0
"901","iscA",0,1,0,0
"902","chaA",0,1,0,0
"903","ydhR",0,1,0,0
"904","pflB",0,1,0,0
"905","ydgJ",0,1,0,0
"906","acs",0,1,0,0
"907","asd",0,1,0,0
"908","tpx",0,1,0,0
"909","emrD",0,1,0,0
