"","V1","Loop_number","No_loop","Loop"
"861","ldtD",1,0,1
"862","metJ",0,0,1
"863","yceI",1,0,1
"865","smg",0,0,1
"867","ynfE",9,0,1
"868","ompW",12,0,1
"869","efeO",0,0,1
"871","gltI",25,0,1
"873","dcuC",1,0,1
"876","ycgM",0,0,1
"878","fes",3,0,1
"879","entA",1,0,1
"881","yjjI",0,0,1
"882","ogt",1,0,1
"883","mntH",2,0,1
"885","shiA",1,0,1
"887","gcvR",0,0,1
"888","entC",1,0,1
"890","selA",0,0,1
"893","msrA",0,0,1
"894","fadE",16,0,1
"895","msrQ",2,0,1
"896","ugpC",0,0,1
"897","manZ",15,0,1
"900","yhjE",1,0,1
"901","fepC",0,0,1
"902","mgsA",0,0,1
"903","sucC",37,0,1
"904","hypE",12,0,1
"906","pykA",4,0,1
"907","yaeP",0,0,1
"908","trmA",3,0,1
"909","pepD",3,0,1
"910","yciH",1,0,1
"911","galT",12,0,1
"912","yhdH",0,0,1
"914","sodB",10,0,1
"916","ppnP",0,0,1
"917","nadB",0,0,1
"919","purT",1,0,1
"921","exbB",4,0,1
"922","yebZ",0,0,1
"923","ppsR",0,0,1
"924","pnuC",0,0,1
"925","gpr",0,0,1
"931","yddA",0,0,1
"933","sanA",0,0,1
"934","manY",22,0,1
"935","hisQ",13,0,1
"937","ydiP",0,0,1
"938","maoP",0,0,1
"939","ycjY",0,0,1
"940","tdh",0,0,1
"941","ybjJ",0,0,1
"943","yibQ",0,0,1
"944","ccmF",33,0,1
"945","nth",1,0,1
"946","recC",32,0,1
"947","preA",0,0,1
"950","entH",1,0,1
"951","rpsQ",8,0,1
"952","fepD",0,0,1
"953","dtpB",0,0,1
"954","yfeD",0,0,1
"955","entS",0,0,1
"956","aqpZ",0,0,1
"958","cycA",20,0,1
"959","aroF",4,0,1
"960","gcvP",7,0,1
"961","yebY",0,0,1
"962","mutM",4,0,1
"964","exbD",0,0,1
"966","crl",0,0,1
"967","znuB",0,0,1
"970","gltP",4,0,1
"971","agaV",1,0,1
"972","sucB",29,0,1
"973","yafD",1,0,1
"974","ilvM",1,0,1
"976","pyrD",2,0,1
"977","glgC",12,0,1
"979","uhpB",0,0,1
"980","ybhG",0,0,1
"983","rimJ",0,0,1
"984","iscA",1,0,1
"985","chaA",0,0,1
"986","ydhR",0,0,1
"988","ydgJ",0,0,1
"989","acs",31,0,1
"990","asd",1,0,1
"991","tpx",1,0,1
"997","ais",0,0,1
"1001","napH",37,0,1
"1003","ybiV",0,0,1
"1004","ldtE",0,0,1
"1008","pykF",2,0,1
"1009","uspE",4,0,1
"1011","glpK",2,0,1
"1012","eda",5,0,1
"1014","cysK",0,0,1
"1015","napF",44,0,1
"1016","ynaJ",0,0,1
"1019","mlaF",0,0,1
"1022","galP",15,0,1
"1023","yojI",0,0,1
"1025","osmC",10,0,1
"1027","yhbS",0,0,1
"1028","msrB",4,0,1
"1029","ung",1,0,1
"1032","ybaN",0,0,1
"1034","brnQ",0,0,1
"1036","arfB",0,0,1
"1037","galE",12,0,1
"1038","fumC",40,0,1
"1039","bfd",0,0,1
"1040","gluQ",0,0,1
"1042","crr",9,0,1
"1043","gstB",0,0,1
"1044","xseB",0,0,1
"1046","slyB",0,0,1
"1047","fhuE",0,0,1
"1050","gltK",25,0,1
"1051","yedE",0,0,1
"1052","putP",3,0,1
"1053","speC",1,0,1
"1056","exuT",3,0,1
"1058","iscU",1,0,1
"1059","ilvC",0,0,1
"1060","ybiT",1,0,1
"1061","phoA",2,0,1
"1062","yceH",0,0,1
"1064","napA",37,0,1
"1065","cusR",1,0,1
"1066","ispA",0,0,1
"1068","yceB",0,0,1
"1071","kefG",0,0,1
"1072","adhE",62,0,1
"1074","fepG",0,0,1
"1076","pdeK",0,0,1
"1077","pqqL",0,0,1
"1078","ftsZ",24,0,1
"1079","glnH",6,0,1
"1080","ypeC",0,0,1
"1081","yqhD",0,0,1
"1083","mnaT",0,0,1
"1085","aroG",2,0,1
"1086","idnO",3,0,1
"1087","idnD",3,0,1
"1088","idnK",3,0,1
"1091","cspG",0,0,1
"1094","yjjZ",2,0,1
"1095","flhC",114,0,1
"1097","glpF",6,0,1
