"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"183","fucR",1,0,0,1,0,0,0,0,0,0,0
"184","sufA",1,0,0,0.375,0,0.125,0,0.25,0.25,0,0
"185","sufS",1,0,0,0.375,0,0.125,0,0.25,0.25,0,0
"186","amn",1,0,0,0,0,1,0,0,0,0,0
"187","yneE",0,1,0,0,0,0,0,0,0,0,0
"188","yodC",0,1,0,0,0,0,0,0,0,0,0
"189","aidB",1,0,0,0.75,0,0,0,0,0.25,0,0
"190","ygaZ",0,1,0,0,0,0,0,0,0,0,0
"191","glgC",1,0,0,0.333333333333333,0,0,0,0.166666666666667,0.5,0,0
"192","yebY",0,1,0,0,0,0,0,0,0,0,0
"193","fdx",0,1,0,0,0,0,0,0,0,0,0
"194","hcp",1,0,0,0,0,0,0,1,0,0,0
"195","fliF",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"196","yafD",0,1,0,0,0,0,0,0,0,0,0
"197","nadA",0,1,0,0,0,0,0,0,0,0,0
"198","clpA",0,1,0,0,0,0,0,0,0,0,0
"199","gatA",1,0,0,0.5,0,0,0,0,0.5,0,0
"200","appA",1,0,0,0.857142857142857,0,0,0,0.142857142857143,0,0,0
"201","srkA",1,0,0,1,0,0,0,0,0,0,0
"202","tcyL",0,1,0,0,0,0,0,0,0,0,0
"203","maoP",0,1,0,0,0,0,0,0,0,0,0
"204","ydhR",0,1,0,0,0,0,0,0,0,0,0
"205","fliK",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"206","potG",1,0,0,1,0,0,0,0,0,0,0
"207","ygdQ",0,1,0,0,0,0,0,0,0,0,0
"208","pdxY",0,1,0,0,0,0,0,0,0,0,0
"209","ccmF",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0,0
"210","ynaJ",0,1,0,0,0,0,0,0,0,0,0
"211","ydfG",0,1,0,0,0,0,0,0,0,0,0
"212","aspC",0,1,0,0,0,0,0,0,0,0,0
"213","flgI",1,0,0,1,0,0,0,0,0,0,0
"214","mdtL",0,1,0,0,0,0,0,0,0,0,0
"215","aroF",1,0,0,0.5,0,0,0,0,0.5,0,0
"216","rnt",0,1,0,0,0,0,0,0,0,0,0
"217","yhiD",1,0,0.0555555555555556,0.444444444444445,0,0.166666666666667,0.0555555555555556,0,0.277777777777778,0,0
"218","yjaH",0,1,0,0,0,0,0,0,0,0,0
"219","sufC",1,0,0,0.375,0,0.125,0,0.25,0.25,0,0
"220","uspE",0,1,0,0,0,0,0,0,0,0,0
"221","efeU",0,1,0,0,0,0,0,0,0,0,0
"222","clpS",0,1,0,0,0,0,0,0,0,0,0
"223","ulaR",0,1,0,0,0,0,0,0,0,0,0
"224","chaA",0,1,0,0,0,0,0,0,0,0,0
"225","ycjF",0,1,0,0,0,0,0,0,0,0,0
"226","glgS",1,0,0,0,0,0,0,0.5,0.5,0,0
"227","ogt",0,1,0,0,0,0,0,0,0,0,0
"228","gadW",1,0,0,0.5,0,0.3,0,0.1,0,0.1,0
"229","selO",0,1,0,0,0,0,0,0,0,0,0
"230","dcyD",0,1,0,0,0,0,0,0,0,0,0
"231","ymdA",0,1,0,0,0,0,0,0,0,0,0
"232","artM",1,0,0,0.5,0,0,0,0,0.5,0,0
"233","hisI",1,0,0,0.5,0,0,0,0.5,0,0,0
"234","gluQ",1,0,0,0,0,0.5,0,0,0.5,0,0
"235","betI",1,0,0,0,0,0,0,0,1,0,0
"236","slp",1,0,0,0.476190476190476,0,0.19047619047619,0.0476190476190476,0,0.238095238095238,0.0476190476190476,0
"237","yhiM",1,0,0,0.2,0,0.4,0.2,0,0.2,0,0
"238","gadA",1,0,0.0344827586206897,0.413793103448276,0.0344827586206897,0.275862068965517,0.0344827586206897,0.0344827586206897,0.172413793103448,0,0
"239","gadW",1,0,0,0.5,0,0.3,0,0.1,0,0.1,0
"240","aceK",1,0,0,0.166666666666667,0,0,0,0.333333333333333,0.5,0,0
"241","aroH",1,0,0,0,0,0,0,0,1,0,0
"242","cyaA",1,0,0,0,0,0,0,0,1,0,0
"243","dadA",0,1,0,0,0,0,0,0,0,0,0
"244","dadX",1,0,0,0,0,0,0,0,1,0,0
"245","artM",1,0,0,0.5,0,0,0,0,0.5,0,0
"246","dcyD",0,1,0,0,0,0,0,0,0,0,0
"247","fimA",1,0,0,0.5,0,0,0,0.5,0,0,0
"248","fimC",1,0,0,0.5,0,0,0,0.5,0,0,0
"249","fimI",1,0,0,0.5,0,0,0,0.5,0,0,0
"250","flhE",1,0,0,1,0,0,0,0,0,0,0
"251","dusA",0,1,0,0,0,0,0,0,0,0,0
"252","fdhD",0,1,0,0,0,0,0,0,0,0,0
"253","folP",0,1,0,0,0,0,0,0,0,0,0
"254","flgI",1,0,0,1,0,0,0,0,0,0,0
"255","gatA",1,0,0,0.5,0,0,0,0,0.5,0,0
"256","gatZ",1,0,0,0.5,0,0,0,0,0.5,0,0
"257","gltA",1,0,0,0.25,0.125,0,0.125,0.25,0.25,0,0
"258","grxA",0,1,0,0,0,0,0,0,0,0,0
"259","gshB",0,1,0,0,0,0,0,0,0,0,0
"260","iap",0,1,0,0,0,0,0,0,0,0,0
"261","mdtG",0,1,0,0,0,0,0,0,0,0,0
"262","mltC",0,1,0,0,0,0,0,0,0,0,0
"263","murE",1,0,0,0,0,0.2,0.2,0,0.6,0,0
"264","pdxY",0,1,0,0,0,0,0,0,0,0,0
"265","rimI",0,1,0,0,0,0,0,0,0,0,0
"266","glgS",1,0,0,0,0,0,0,0.5,0.5,0,0
"267","nadA",0,1,0,0,0,0,0,0,0,0,0
"268","nrdD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"269","rzpD",0,1,0,0,0,0,0,0,0,0,0
"270","dedA",0,1,0,0,0,0,0,0,0,0,0
"271","fadL",1,0,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0
"272","fucR",1,0,0,1,0,0,0,0,0,0,0
"273","glmU",0,1,0,0,0,0,0,0,0,0,0
"274","fliF",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"275","fliK",1,0,0,0.625,0,0.125,0,0,0.25,0,0
"276","hisI",1,0,0,0.5,0,0,0,0.5,0,0,0
"277","grpE",0,1,0,0,0,0,0,0,0,0,0
"278","srkA",1,0,0,1,0,0,0,0,0,0,0
"279","nhaB",0,1,0,0,0,0,0,0,0,0,0
"280","prlC",0,1,0,0,0,0,0,0,0,0,0
"281","tusA",0,1,0,0,0,0,0,0,0,0,0
"282","sgrR",1,0,0,0.5,0,0,0,0.5,0,0,0
"283","hcxB",0,1,0,0,0,0,0,0,0,0,0
"284","ycfP",0,1,0,0,0,0,0,0,0,0,0
"285","nemR",1,0,0,0,0,0,0,0,1,0,0
"286","yecD",0,1,0,0,0,0,0,0,0,0,0
"287","tcyL",0,1,0,0,0,0,0,0,0,0,0
"288","yfcA",0,1,0,0,0,0,0,0,0,0,0
"289","ygaZ",0,1,0,0,0,0,0,0,0,0,0
"290","ygdQ",0,1,0,0,0,0,0,0,0,0,0
"291","ygiW",0,1,0,0,0,0,0,0,0,0,0
"292","tusD",0,1,0,0,0,0,0,0,0,0,0
"293","tabA",0,1,0,0,0,0,0,0,0,0,0
"294","yncD",0,1,0,0,0,0,0,0,0,0,0
"295","yodC",0,1,0,0,0,0,0,0,0,0,0
"296","rcnB",1,0,0,0,0,0,0,0,1,0,0
"297","ylbF",0,1,0,0,0,0,0,0,0,0,0
"298","slt",1,0,0,1,0,0,0,0,0,0,0
