"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"100","alaE",0,1,0,0,0,0,0,0,0,0,0,0,0
"101","dgcT",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"102","cysI",1,0,0.2,0,0,0.4,0.4,0,0,0,0,0,0
"103","allB",0,1,0,0,0,0,0,0,0,0,0,0,0
"104","carB",1,0,0.352941176470588,0,0,0.117647058823529,0,0,0.529411764705882,0,0,0,0
"105","cysP",1,0,0,0,0,0,0,0,1,0,0,0,0
"106","tsuA",0,1,0,0,0,0,0,0,0,0,0,0,0
"107","argD",1,0,1,0,0,0,0,0,0,0,0,0,0
"108","uidA",1,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0
"109","nanA",1,0,0,0,0,0,0.5,0,0,0,0.5,0,0
"110","nagE",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","ubiA",1,0,0.105263157894737,0.105263157894737,0.105263157894737,0.0526315789473684,0.210526315789474,0.0526315789473684,0.105263157894737,0.105263157894737,0.105263157894737,0.0526315789473684,0
"112","lrhA",0,1,0,0,0,0,0,0,0,0,0,0,0
"113","garP",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"114","tsuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"115","cysC",0,1,0,0,0,0,0,0,0,0,0,0,0
"116","cysH",1,0,0.2,0,0,0.6,0.2,0,0,0,0,0,0
"117","cysA",1,0,0,0,0,0,0,0,0,1,0,0,0
"118","cysW",1,0,0,0,0,0,0,0,0,1,0,0,0
"119","tcyN",0,1,0,0,0,0,0,0,0,0,0,0,0
"120","psuK",0,1,0,0,0,0,0,0,0,0,0,0,0
