"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"262","aceE",0,1,0,0,0,0,0,0,0
"263","cyoA",0,1,0,0,0,0,0,0,0
"264","cyoC",0,1,0,0,0,0,0,0,0
"265","cyoD",0,1,0,0,0,0,0,0,0
"266","dsbB",0,1,0,0,0,0,0,0,0
"267","gnd",0,1,0,0,0,0,0,0,0
"268","gpt",0,1,0,0,0,0,0,0,0
"269","guaA",0,1,0,0,0,0,0,0,0
"270","hha",0,1,0,0,0,0,0,0,0
"271","mdtJ",0,1,0,0,0,0,0,0,0
"272","metK",0,1,0,0,0,0,0,0,0
"273","ndk",0,1,0,0,0,0,0,0,0
"274","nuoG",0,1,0,0,0,0,0,0,0
"275","nuoH",0,1,0,0,0,0,0,0,0
"276","nuoI",0,1,0,0,0,0,0,0,0
"277","nuoJ",0,1,0,0,0,0,0,0,0
"278","nuoK",0,1,0,0,0,0,0,0,0
"279","nuoL",0,1,0,0,0,0,0,0,0
"280","oppB",0,1,0,0,0,0,0,0,0
"281","oppC",0,1,0,0,0,0,0,0,0
"282","pmrD",0,1,0,0,0,0,0,0,0
"283","pstS",0,1,0,0,0,0,0,0,0
"284","rne",0,1,0,0,0,0,0,0,0
"285","pheM",0,1,0,0,0,0,0,0,0
"286","ptsG",0,1,0,0,0,0,0,0,0
"287","ptsH",0,1,0,0,0,0,0,0,0
"288","purU",0,1,0,0,0,0,0,0,0
"289","pyrG",0,1,0,0,0,0,0,0,0
"290","rmf",0,1,0,0,0,0,0,0,0
"291","rnb",0,1,0,0,0,0,0,0,0
"292","rsd",0,1,0,0,0,0,0,0,0
"293","surA",0,1,0,0,0,0,0,0,0
"294","yicG",0,1,0,0,0,0,0,0,0
"295","yjaB",0,1,0,0,0,0,0,0,0
"296","yaiA",0,1,0,0,0,0,0,0,0
"297","ybhB",0,1,0,0,0,0,0,0,0
"298","mepK",0,1,0,0,0,0,0,0,0
"299","yeaC",0,1,0,0,0,0,0,0,0
"300","yeeN",0,1,0,0,0,0,0,0,0
"301","yjhD",0,1,0,0,0,0,0,0,0
"302","nfeF",0,1,0,0,0,0,0,0,0
"303","yehS",0,1,0,0,0,0,0,0,0
"304","yhjR",0,1,0,0,0,0,0,0,0
"305","yjbQ",0,1,0,0,0,0,0,0,0
"306","iraP",0,1,0,0,0,0,0,0,0
